id,path,obj,dual_obj,load_time,calc_time,solver_time,python_time,iter_nr,NLP_runs,FNLP_runs,MIQP_runs,MILP_runs
0,batch.nl,323742.1273360562,324506.67598252045,7.990747690200806e-07,0.2250241432338953,0.308421852,0.31312673166394234,2,4,0,3,0
1,batch0812.nl,2836593.013029522,2863756.982863471,0.17468670289963484,0.5079498654231429,0.518310709,0.7286452334374189,2,4,1,3,0
2,batchdes.nl,178545.1945508755,178545.1945508755,0.0186605304479599,0.03557365480810404,0.026849,0.040879182517528534,1,2,0,2,0
3,clay0203hfsg.nl,41907.460309547285,41907.460309547285,0.09576791059225798,1.4322294229641557,1.1677079449999996,2.8457915131002665,4,14,11,5,0
4,clay0204hfsg.nl,6544.999962872769,6544.999962762632,0.25979291275143623,2.2308670673519373,2.188341802999993,3.0793789019808173,2,10,5,3,0
5,clay0205hfsg.nl,8092.499956870159,8092.499956870352,0.6296906433999538,2.6470794649794698,3.448164546,2.4601330496370792,1,5,0,2,0
6,clay0303hfsg.nl,41709.76921886916,41709.76921886916,0.12353345192968845,1.9326460789889097,1.2197553849999994,3.8516073720529675,4,18,16,5,0
7,clay0304hfsg.nl,40262.38749701294,40262.38749701294,0.3077610060572624,4.2773890709504485,2.564678535000001,10.957797536626458,5,22,20,6,0
8,clay0305hfsg.nl,8092.499956870221,8092.499956870221,0.7281534699723125,3.1711937319487333,3.920952028000001,3.011703950352967,1,5,0,2,0
9,cvxnonsep_normcon20.nl,-21.7491473846331,-21.82222547389317,0.019576593302190304,0.029284879565238953,0.027607,0.0368524519726634,1,2,0,2,0
10,cvxnonsep_normcon30.nl,-33.9875120670215,-34.281348953713525,0.017891463823616505,13.250521612353623,1.501370865000001,660.9491939600557,130,255,115,131,0
11,cvxnonsep_normcon40.nl,-32.436652102541586,-32.72391527109604,0.023467477411031723,30.726439939811826,3.432518518,2262.338280555792,202,336,181,203,0
12,cvxnonsep_nsig20.nl,80.9492946574176,80.81583433225808,0.014769131317734718,0.028746867552399635,0.026915,0.036337767727673054,1,2,0,2,0
13,cvxnonsep_nsig20r.nl,80.94927862502492,80.81581789826072,0.01876025553792715,0.034148840233683586,0.023659999999999997,0.03796517103910446,1,2,0,2,0
14,cvxnonsep_nsig30.nl,130.65033700034454,130.47997176012416,0.016229973174631596,0.02998856920748949,0.037645,0.039889431558549404,1,2,0,2,0
15,cvxnonsep_nsig30r.nl,156.4266167111624,156.2343211644331,0.02442080806940794,0.03908183611929417,0.0304,0.040401797741651535,1,2,0,2,0
16,cvxnonsep_nsig40.nl,133.96132894832803,133.74494901551313,0.022432063706219196,0.03358929976820946,0.04711,0.04567066207528114,1,2,0,2,0
17,cvxnonsep_nsig40r.nl,133.96126813632867,133.74488859965595,0.036682053469121456,0.11110395286232233,0.031897,0.11225209478288889,1,2,0,2,0
18,cvxnonsep_pcon20.nl,-21.469437905707228,-21.629610239291956,0.020978586748242378,0.03411779925227165,0.027083,0.048915584571659565,1,2,0,2,0
19,cvxnonsep_pcon20r.nl,-21.46943786371748,-21.62961019921222,0.022519299760460854,0.03697401471436024,0.029834,0.04087492264807224,1,2,0,2,0
20,enpro48pb.nl,-inf,FAILED,CRASH
21,enpro56pb.nl,269933.0657796926,269933.0657796926,7.776543498039246e-07,1.823329832404852,2.124796223,2.3609901731833816,2,6,1,3,0
22,ex1223.nl,4.579582373600571,5.711850069441182,0.01870979741215706,0.05914371181279421,0.038414000000000004,0.08179958909749985,2,4,0,3,0
23,ex1223b.nl,4.57958237379399,5.711852820055359,0.010768217965960503,0.03873084392398596,0.041636,0.04034778941422701,1,3,0,2,0
24,fac1.nl,160912612.2935292,160912612.2935292,0.014230162836611271,1.3767671696841717,0.8767119999996513,1.3882016902789474,1,3,1,2,0
25,fac2.nl,331837497.8380618,331837497.8380618,0.02960555348545313,0.06423116382211447,0.12310900000000002,0.08708172477781773,1,2,0,2,0
26,flay02h.nl,37.94733186289341,37.94733188293823,0.02743182424455881,0.1473961817100644,0.114470756,0.14620121754705906,2,4,0,3,0
27,flay02m.nl,37.947331824571066,37.947331804570084,0.012334822677075863,0.06511576380580664,0.036707000000000004,0.09813871048390865,2,4,0,3,0
28,flay03h.nl,48.9897948403279,48.98979487314513,0.09969092067331076,0.37670618761330843,0.5866469999999997,0.5070113530382514,2,7,0,3,0
29,flay03m.nl,48.98979474823521,48.98979470823197,0.025209400802850723,0.11324246879667044,0.18012999999999998,0.14283874072134495,2,5,0,3,0
30,flay04h.nl,54.4166667054779,54.41666667870853,0.3349750302731991,1.1354211382567883,1.426334049,1.444742021150887,2,8,0,3,0
