id,path,obj,calctime,nr_milp,nr_nlp
0,name,NAN,NAN,NAN,NAN
1,4stufen,1.7976931348623157e+308,16.171350570999998,24,19
2,autocorr_bern20-05,-416.00000000000006,2.502480514,2,0
3,autocorr_bern20-10,-2936,65.634566984,2,1
4,autocorr_bern20-15,-5960,200.572152673,2,3
5,autocorr_bern25-06,-960,107.260526965,2,0
6,autocorr_bern25-13,-8148.0000000099908,299.98398353299996,2,3
7,autocorr_bern25-19,-14588.00000000999,299.970364084,2,3
8,autocorr_bern25-25,-10656.00000000999,299.965274806,2,7
9,autocorr_bern30-04,-324,12.81884233,2,0
10,autocorr_bern30-08,-2952.0000000099894,300.000033706,2,2
11,autocorr_bern30-15,-15744.000000009994,299.972882923,2,5
12,autocorr_bern30-23,-30276.00000000999,299.94718014,2,3
13,autocorr_bern30-30,-22472.00000000999,299.970881655,2,5
14,autocorr_bern35-04,-384,66.417047112,2,0
15,autocorr_bern35-09,-5104.0000000099899,299.98752314899997,2,3
16,autocorr_bern35-18,-31072.000000009986,299.97842793,2,7
17,autocorr_bern35-26,-55096.000000009997,299.928109577,2,4
18,autocorr_bern35-35fix,-40284.00000000999,299.920791317,2,7
19,autocorr_bern40-05,-936.00000000999,299.996539529,2,2
20,autocorr_bern40-10,-8232.0000000099899,299.981020864,2,5
21,autocorr_bern40-20,-50344.00000000999,299.925545374,2,5
22,autocorr_bern40-30,-93960.000000010012,299.88107971899996,2,3
23,autocorr_bern40-40,-65852.000000009997,299.884228238,2,4
24,autocorr_bern45-05,-1064.0000000099899,300.00515589199995,2,1
25,autocorr_bern45-11,-12648.00000000999,299.973831125,2,3
26,autocorr_bern45-23,-84852.000000009997,299.898193443,2,3
27,autocorr_bern45-34,-151224.00000001001,299.86160277299996,2,3
28,autocorr_bern45-45,-109320.00000001,299.84159973,2,4
29,autocorr_bern50-06,-2160.0000000099899,300.003334788,2,1
30,autocorr_bern50-13,-23480.000000009986,299.958858493,2,8
31,autocorr_bern50-25,-123844.00000001,299.891372783,2,4
32,autocorr_bern55-06,-2400.0000000099899,299.99170313400003,2,2
33,autocorr_bern55-14,-32776.00000000999,299.960298053,2,6
34,autocorr_bern60-08,-6792.0000000099899,299.99527807299995,2,6
35,autocorr_bern60-15,-44548.000000009997,299.936889764,2,6
36,batch0812_nc,2687026.7795078037,0.21818796000000001,2,2
37,batch_nc,285506.50789399887,0.24436501,16,3
38,beuster,NAN,NAN,NAN,NAN
39,casctanks,9.1634771241571116,21.941444466,19,23
40,contvar,813386.92992317176,303.584944728,66,46
41,csched1,1.7976931348623157e+308,0.12728445800000002,2,2
42,csched1a,-30279.74713313461,0.076040337,3,3
43,csched2,-151918.94471747396,6.974089513,3,3
44,csched2a,-145827.60855715349,1.034648051,12,12
45,eg_int_s,8.3125424198189464,303.861222477,75,29
46,eniplac,-122729.55726248152,0.822713999,7,11
47,ex1221,7.6671800624164419,0.058854804,3,3
48,ex1222,1.0765430413715027,0.022589831,1,1
49,ex1224,0,0.087343818,7,7
50,ex1225,34,0.06436820700000001,3,3
51,ex1226,-17.000000006644228,0.039528096,2,2
52,ex1233,191998.24483011852,0.596710963,8,8
53,ex1243,129301.61691396052,0.239594574,3,3
54,ex1244,83989.233623760752,0.45926436400000004,4,4
55,ex1252,134263.58531364441,1.9936095980000001,11,7
56,ex1252a,134263.58531364441,3.543297918,11,7
57,ex3pb,1.7976931348623157e+308,59.874637546,70,70
58,feedtray,1.7976931348623157e+308,30.622257257999998,1,1
59,gasnet,1.7976931348623157e+308,0.011040629,0,0
60,gastrans,NAN,NAN,NAN,NAN
61,gastrans040,0,2.946414114,1,1
62,gear2,2.3576406580194936e-09,0.356954741,42,42
63,gear3,0.00013622222271739669,0.102680561,46,14
64,gear4,945.99143940676731,0.117869219,14,8
65,ghg_1veh,1.7976931348623157e+308,6.23197632,9,6
66,ghg_2veh,1.7976931348623157e+308,32.611798206,7,7
67,ghg_3veh,1.7976931348623157e+308,122.199164411,13,13
68,gkocis,-1.9230987633801568,0.082556478,6,5
69,heatexch_gen1,154895.9329592764,117.57244975,39,40
70,heatexch_gen2,1355902.1694543529,58.75196188,9,10
71,heatexch_gen3,1.7976931348623157e+308,302.812397895,27,26
72,heatexch_spec1,189521.07147688637,0.363185426,5,5
73,heatexch_spec2,662477.82838247786,1.063616904,5,5
74,heatexch_spec3,474754.62461658078,5.942519149,4,4
75,hybriddynamic_var,1.7976931348623157e+308,0.010786658999999999,0,0
76,johnall,1.7976931348623157e+308,348.10748766,3,2
77,kport20,1.7976931348623157e+308,0.168242357,8,5
78,kport40,1.7976931348623157e+308,3.146418022,11,8
79,nvs01,1.7976931348623157e+308,0.034584345,4,1
80,nvs05,1.7976931348623157e+308,0.7725883170000001,6,2
81,nvs08,23.449727344266829,0.061856769,3,3
82,nvs20,230.92216350458514,1.303105703,13,13
83,nvs21,-1.2127536289340017,0.316664341,27,27
84,nvs22,14.521940000000001,0.712017938,12,12
85,oaer,-1.9230985659290898,0.077414837,5,5
86,ortez,-9532.0391320331855,3.4694753549999997,26,26
87,parallel,2642.7116434911572,0.471564536,6,8
88,pooling_epa1,NAN,NAN,NAN,NAN
89,pooling_epa2,NAN,NAN,NAN,NAN
90,prob10,10.312118485241777,0.074236755,2,2
91,procsel,-1.9230987513698841,0.057149561,4,3
92,sfacloc1_2_90,1.7976931348623157e+308,12.110403755,8,8
93,sfacloc1_2_95,1.7976931348623157e+308,11.898763252999998,7,7
94,sfacloc1_3_90,29.676807154333311,13.119994177999999,13,10
95,sfacloc1_3_95,1.7976931348623157e+308,318.116036361,2,11
96,sfacloc1_4_90,1.7976931348623157e+308,44.627214546999994,16,16
97,sfacloc1_4_95,1.7976931348623157e+308,314.626264111,2,7
98,sfacloc2_2_90,26.149503620061548,1.0057235539999998,6,6
99,sfacloc2_2_95,23.661779762770372,1.7622763609999998,8,10
100,sfacloc2_3_90,19.105921080026025,0.789038427,8,8
101,sfacloc2_3_95,19.272069530386219,8.355286435,11,24
102,sfacloc2_4_90,15.695066271698428,0.888161039,9,9
103,sfacloc2_4_95,21.985111748318548,3.419013886,7,7
104,spring,1.5686403230374262,0.952845053,159,67
105,st_e15,7.6671800624164419,0.057889616,3,3
106,st_e29,0,0.08465563400000001,7,7
107,st_e32,1.7976931348623157e+308,4.882817445,25,25
108,st_e35,92593.727247660383,0.454528603,4,4
109,st_e36,-243.85676188641463,0.263881293,8,8
110,st_e38,1.7976931348623157e+308,1.458272002,5,2
111,st_e40,1.7976931348623157e+308,0.074995328,4,1
112,supplychainp1_020306,438471.72306455148,0.270021274,2,2
113,supplychainr1_020306,438470.94595311274,0.6100180350000001,6,2
114,supplychainr1_030510,860440.15780998068,0.9870381420000001,2,2
115,synheat,189521.07147688637,0.37648431899999996,5,5
116,tanksize,NAN,NAN,NAN,NAN
117,transswitch0009p,1.7976931348623157e+308,0.9694787319999999,3,3
118,transswitch0009r,1.7976931348623157e+308,0.329581238,3,3
119,transswitch0014p,1.7976931348623157e+308,6.528960131000001,4,4
120,transswitch0014r,1.7976931348623157e+308,0.902944721,3,3
121,transswitch0030p,1.7976931348623157e+308,20.998851196,3,3
122,transswitch0030r,1.7976931348623157e+308,22.082272916,3,3
123,transswitch0039p,1.7976931348623157e+308,26.104882869,3,3
124,transswitch0039r,1.7976931348623157e+308,22.250084837,3,3
125,tspn05,191.25520764860207,0.097335232,3,3
126,tspn08,290.56685370197846,0.19948634099999998,3,3
127,tspn10,225.12607130943968,0.25704544100000004,3,3
128,tspn12,265.85789405194868,0.326834266,3,3
129,tspn15,327.13906183379669,0.463381887,3,3
130,wager,1.7976931348623157e+308,19.025306871999998,8,12
131,wastepaper3,0.028594710756561566,2.4170033749999997,11,14
132,wastepaper4,0.0041469463271194733,46.489698481,21,26
133,wastepaper5,0.024983511674051218,300.002011477,44,32
134,wastepaper6,0.0047472398890255644,197.43187811800001,22,25
135,water4,NAN,NAN,NAN,NAN
136,waternd1,606763.16707404505,4.320202212000001,2,2
137,waternd2,1070320.0077465186,300.08107110500004,22,1
138,waterno2_01,19.456674548294597,0.683204085,4,4
139,waterno2_02,46.930400352138307,2.737713591,6,6
140,waterno2_03,196.54771139263931,4.849202476,11,11
141,watertreatnd_conc,1.7976931348623157e+308,0.18884259199999998,1,1
142,watertreatnd_flow,406961.23088065512,64.60410245099999,2,2
143,waterx,NAN,NAN,NAN,NAN
144,waterz,NAN,NAN,NAN,NAN
145,windfac,1.7976931348623157e+308,0.097787798,2,2
