name,primalbound,cvx_shot.obj,cvx_shot.dual_obj,cvx_shot.calc_time,cvx_shot.NLP_runs,cvx_shot.MIP_runs,cvx_shot.relaxed_MIP_runs,cvx_sbmiqp.obj,cvx_sbmiqp.dual_obj,cvx_sbmiqp.load_time,cvx_sbmiqp.calc_time,cvx_sbmiqp.solver_time,cvx_sbmiqp.python_time,cvx_sbmiqp.iter_nr,cvx_sbmiqp.NLP_runs,cvx_sbmiqp.FNLP_runs,cvx_sbmiqp.MIQP_runs,cvx_sbmiqp.MILP_runs,cvx_sbmiqp_new.obj,cvx_sbmiqp_new.dual_obj,cvx_sbmiqp_new.load_time,cvx_sbmiqp_new.calc_time,cvx_sbmiqp_new.iter_nr,cvx_sbmiqp_new.NLP_runs,cvx_sbmiqp_new.FNLP_runs,cvx_sbmiqp_new.MIQP_runs,cvx_sbmiqp_new.MILP_runs,cvx_sbmiqp_ee.obj,cvx_sbmiqp_ee.dual_obj,cvx_sbmiqp_ee.load_time,cvx_sbmiqp_ee.calc_time,cvx_sbmiqp_ee.solver_time,cvx_sbmiqp_ee.python_time,cvx_sbmiqp_ee.iter_nr,cvx_sbmiqp_ee.NLP_runs,cvx_sbmiqp_ee.FNLP_runs,cvx_sbmiqp_ee.MIQP_runs,cvx_sbmiqp_ee.MILP_runs,cvx_sbmiqp_ee_new.obj,cvx_sbmiqp_ee_new.dual_obj,cvx_sbmiqp_ee_new.load_time,cvx_sbmiqp_ee_new.calc_time,cvx_sbmiqp_ee_new.iter_nr,cvx_sbmiqp_ee_new.NLP_runs,cvx_sbmiqp_ee_new.FNLP_runs,cvx_sbmiqp_ee_new.MIQP_runs,cvx_sbmiqp_ee_new.MILP_runs
batch,285506.5082,285506.91057224385,285506.46608572738,0.110934329,3,0000,390,285506.50498104404,285506.50498104404,7.189810276031494e-07,0.4699595030397177,0.302721691,0.5193232404999435,4,5,0,4,1,285506.50498104404,285506.50498104404,1.0470394045114517e-06,0.08914212102536112,2,5,0,2,1,323742.1273360562,335985.8715431979,8.00006091594696e-07,0.21562274591997266,0.22443500000000002,0.26867160433903337,3,4,0,3,0,285506.50498104404,286459.2951516155,8.799834176898003e-07,0.07594174891710281,2,5,0,2,0
batch0812,2687026.784,2705842.8525372744,2687024.720533364,0.31709796199999996,8,0010,280,2836593.013029522,2836593.013029522,0.18140439596027136,1.7679459396749735,0.465489201,1.4521023659035563,4,6,1,4,2,2944490.714678177,2944490.714678177,0.1751520539401099,0.27845335903111845,3,5,1,3,2,2836593.013029522,2863756.982863471,0.17999801877886057,0.41650615679100156,0.449071698,0.5358339697122574,3,4,1,3,0,2998471.3570976234,2998471.3570976234,0.17299534007906914,0.14393032796215266,2,3,1,2,0
batchdes,167427.6571,167427.73779460439,167424.82743779561,0.047965545,2,0000,90,178545.1945508755,178545.1945508755,0.019710963126271963,0.04856261005625129,0.041248,0.041545506566762924,2,2,0,2,1,167427.65337972456,167427.65337972456,0.025213591987267137,0.028569199959747493,2,3,0,2,1,178545.1945508755,178545.1945508755,0.018846325110644102,0.03717364417389035,0.029405,0.04177785664796829,2,2,0,2,0,167427.65337972456,167427.65337972456,0.025105457054451108,0.027564355987124145,2,3,0,2,0
clay0203hfsg,41573.26252,41573.072310041483,41573.072310041483,0.274896144,3,0010,30,41737.46030954705,41324.4706626026,0.10409788461402059,2.8831754345446825,1.3990658609999993,4.661657698918134,6,18,12,6,2,41573.26250375058,41176.73908167605,0.09625871910247952,1.68746564805042,5,18,13,3,3,41907.460309547285,41907.460309547285,0.10254668490961194,1.4135364079847932,1.1576011769999996,2.6920677572488785,5,14,11,5,0,41573.26250375058,397030492.2487917,0.0947152649750933,0.6518735359422863,3,9,7,3,0
clay0204hfsg,6545.0,6544.9998820007277,6544.9998820007277,1.003186833,4,0010,30,6544.999962872769,6544.952545000583,0.2706393823027611,2.712933570612222,2.528911345999995,3.181094768922776,3,10,5,3,1,6604.99996345,6544.944940000013,0.2663724890444428,3.7849788289749995,2,6,4,2,1,6544.999962872769,6544.999962762632,0.26802515424788,2.277656459249556,2.2167803699999937,3.15271044196561,3,10,5,3,0,6604.99996345,6604.99996345,0.25984196504577994,3.3603898809524253,2,6,4,2,0
clay0205hfsg,8092.5,8092.499859901237,8092.499859901237,3.778141318,3,0010,30,8092.499956870159,8084.932002042369,0.653822879306972,4.9299842971377075,5.628079221,2.4550519823096693,2,5,0,2,1,8092.499956870159,8084.9858812575185,0.6352927010739222,91.48672629101202,4,12,3,3,1,8092.499956870159,8092.499956870352,0.6455421010032296,2.64894749969244,3.416044774,2.451124823652208,2,5,0,2,0,8600.9349061685,8600.9349061685,0.6384440070251003,30.80634537304286,3,7,3,3,0
clay0303hfsg,26669.10957,26669.092175553928,26669.092175553928,0.979395187,5,0010,120,26669.109551317826,26669.105709558935,0.13043805118650198,5.903026186861098,1.7335983119999996,14.083608514629304,8,27,20,8,2,26669.10955101354,26669.032861746942,0.12475532095413655,5.018356802989729,8,34,28,7,3,41709.76921886916,41709.76921886916,0.12778775207698345,1.942643434740603,1.2991818300000002,3.7804963192902505,5,18,16,5,0,47287.561323850285,509927954.36568594,0.1278257470112294,2.309023787965998,6,24,22,6,0
clay0304hfsg,40262.38753,40262.387440997947,40262.387440997947,4.831015237,10,0010,80,40262.38749701286,39909.90074489518,0.32645201310515404,19.285216215997934,4.04320541,38.60596935497597,10,35,27,9,4,40262.38749393643,39888.73058071691,0.31304511602502316,17.772355577908456,10,41,33,7,5,40262.38749701294,40262.38749701294,0.3184790019877255,4.324257295113057,2.569740577000001,10.889141269493848,6,22,20,6,0,64167.74654635093,3545106123.4614897,0.31275167607236654,6.68017275701277,6,23,21,6,0
clay0305hfsg,8092.5,8092.4998599011451,8092.4998599011451,6.820155356,8,0010,140,8092.499956870221,8084.9311040508965,0.7482464234344661,5.39808409428224,6.02828988,3.0000593084841967,2,5,0,2,1,8092.499956698056,8092.436447471299,0.7456144930329174,122.35099858709145,5,15,6,4,2,8092.499956870221,8092.499956870221,0.753346404992044,3.168704017996788,3.902577462000001,3.002778648864478,2,5,0,2,0,8218.940348425174,8218.940348425174,0.7234213629271835,80.18318244698457,2,6,1,2,0
cvxnonsep_normcon20,-21.74914736,-21.719247990639417,-21.750459154164165,0.021526086,0,0000,00,-21.7491473846331,-21.82222547389317,0.02014411985874176,0.02966607641428709,0.026441,0.03699237387627363,2,2,0,2,0,-21.7491473846331,-21.82222547389317,0.024528457899577916,0.020950644044205546,2,2,0,2,1,-21.7491473846331,-21.82222547389317,0.020260858815163374,0.02940978202968836,0.026913,0.037162101827561855,2,2,0,2,0,-21.7491473846331,-21.66940909206711,0.019820224959403276,0.01686693204101175,2,2,0,2,0
