id,path,obj,dual_obj,load_time,calc_time,iter_nr,NLP_runs,FNLP_runs,MIQP_runs,MILP_runs
0,batch.nl,285506.50498104404,285506.50498104404,1.0470394045114517e-06,0.08914212102536112,2,5,0,2,1
1,batch0812.nl,2944490.714678177,2944490.714678177,0.1751520539401099,0.27845335903111845,3,5,1,3,2
2,batchdes.nl,167427.65337972456,167427.65337972456,0.025213591987267137,0.028569199959747493,2,3,0,2,1
3,clay0203hfsg.nl,41573.26250375058,41176.73908167605,0.09625871910247952,1.68746564805042,5,18,13,3,3
4,clay0204hfsg.nl,6604.99996345,6544.944940000013,0.2663724890444428,3.7849788289749995,2,6,4,2,1
5,clay0205hfsg.nl,8092.499956870159,8084.9858812575185,0.6352927010739222,91.48672629101202,4,12,3,3,1
6,clay0303hfsg.nl,26669.10955101354,26669.032861746942,0.12475532095413655,5.018356802989729,8,34,28,7,3
7,clay0304hfsg.nl,40262.38749393643,39888.73058071691,0.31304511602502316,17.772355577908456,10,41,33,7,5
8,clay0305hfsg.nl,8092.499956698056,8092.436447471299,0.7456144930329174,122.35099858709145,5,15,6,4,2
9,cvxnonsep_normcon20.nl,-21.7491473846331,-21.82222547389317,0.024528457899577916,0.020950644044205546,2,2,0,2,1
10,cvxnonsep_normcon30.nl,-34.2275120670215,-34.428749859066556,0.017220955924130976,0.02325890597421676,2,2,0,2,1
11,cvxnonsep_normcon40.nl,-32.6296697474825,-32.88554272835089,0.02459351997822523,0.02858152100816369,2,2,0,2,1
12,cvxnonsep_nsig20.nl,80.9492946574176,80.81583433225808,0.013775872997939587,0.020580645999871194,2,2,0,2,1
13,cvxnonsep_nsig20r.nl,81.49159484565594,80.81581789826072,0.01666798908263445,0.12810998503118753,5,11,0,5,0
14,cvxnonsep_nsig30.nl,130.65033700034454,130.47997176012416,0.017796376952901483,0.021401196951046586,2,2,0,2,0
15,cvxnonsep_nsig30r.nl,157.24837347429536,156.2343211644331,0.023583212052471936,0.1634247440379113,5,7,1,5,0
16,cvxnonsep_nsig40.nl,133.96132894832803,133.74494901551313,0.025280397036112845,0.03006953001022339,2,2,0,2,1
