name,primalbound,cvx_bonmin.obj,cvx_bonmin.load_time,cvx_bonmin.calc_time,cvx_bonmin.solver_time,cvx_bonmin.python_time,cvx_bonmin.iter_nr,cvx_sbmiqp.obj,cvx_sbmiqp.dual_obj,cvx_sbmiqp.load_time,cvx_sbmiqp.calc_time,cvx_sbmiqp.solver_time,cvx_sbmiqp.python_time,cvx_sbmiqp.iter_nr,cvx_sbmiqp.NLP_runs,cvx_sbmiqp.FNLP_runs,cvx_sbmiqp.MIQP_runs,cvx_sbmiqp.MILP_runs,cvx_sbmiqp_ee.obj,cvx_sbmiqp_ee.dual_obj,cvx_sbmiqp_ee.load_time,cvx_sbmiqp_ee.calc_time,cvx_sbmiqp_ee.solver_time,cvx_sbmiqp_ee.python_time,cvx_sbmiqp_ee.iter_nr,cvx_sbmiqp_ee.NLP_runs,cvx_sbmiqp_ee.FNLP_runs,cvx_sbmiqp_ee.MIQP_runs,cvx_sbmiqp_ee.MILP_runs,cvx_shot.obj,cvx_shot.dual_obj,cvx_shot.calc_time,cvx_shot.NLP_runs,cvx_shot.MIP_runs,cvx_shot.relaxed_MIP_runs,cvx_gurobi.obj,cvx_gurobi.dual_obj,cvx_gurobi.calc_time,cvx_scip.obj,cvx_scip.dual_obj,cvx_scip.calc_time
batch,285506.5082,285506.5082441529,0,0.28131867572665215,0.24392900000000167,0,0,285506.50498104404,285506.50498104404,1.0170042514801025e-06,0.09245823789387941,0.06683074124157429,0.025627496652305126,2,5,0,2,1,285506.50498104404,286459.2951516155,7.213093340396881e-07,0.07190400687977672,0.053341963328421116,0.0185620435513556,2,5,0,2,0,285506.91057224385,285506.46608572738,0.110934329,3,0000,390,285506.50824409,285439.2334564008,0.06827,285506.5082439559,282735.915155506,0.388102
batch0812,2687026.784,2687026.7842479367,0,1.3968832744285464,0.5581770000000116,0,0,2944490.714678177,2944490.714678177,0.1725916499271989,0.2987196738831699,0.19414555467665195,0.10457411920651793,3,5,1,3,2,2998471.3570976234,2998471.3570976234,0.17278712801635265,0.14334243535995483,0.12136866617947817,0.021973769180476665,2,3,1,2,0,2705842.8525372744,2687024.720533364,0.31709796199999996,8,0010,280,2702301.4715899015,2678869.934685793,0.04828,2687026.7844078485,2660956.101105834,0.234793
batchdes,167427.6571,167427.65711474538,0,0.07231346424669027,0.06137699999999996,0,0,167427.65337972456,167427.65337972456,0.026170119177550077,0.02741022501140833,0.014444100670516491,0.012966124340891838,2,3,0,2,1,167427.65337972456,167427.65337972456,0.02473583398386836,0.029715979937464,0.01673046685755253,0.01298551307991147,2,3,0,2,0,167427.73779460439,167424.82743779561,0.047965545,2,0000,90,167427.6571147706,167358.1632579224,0.012643999999999999,167427.6563284942,167427.6567828456,0.023957
clay0203hfsg,41573.26252,41573.26252221283,0,5.881175769492984,1.509586999999963,0,0,41573.26250375058,41176.74005652359,0.09631488472223282,1.4490870642475784,0.9645442059263587,0.4845428583212197,6,19,13,3,3,41573.26250375058,41573.25925979836,0.10024331929162145,0.6425005230121315,0.4909969540312886,0.15150356898084283,3,9,7,3,0,41573.072310041483,41573.072310041483,0.274896144,3,0010,30,41573.262522401696,41459.57183353081,0.7100660000000001,41573.262522035075,41573.26252203507,1.054407
clay0204hfsg,6545.0,6545.000000000707,0,20.93626103643328,6.393969999998204,0,0,6544.999962872584,6544.964975001819,0.2595738656818867,8.549020403064787,8.133779529016465,0.41524087404832244,3,11,5,3,1,6604.99996345,6544.982710190967,0.25821475964039564,6.48602718161419,6.360914560500532,0.12511262111365795,2,6,4,2,0,6544.9998820007277,6544.9998820007277,1.003186833,4,0010,30,6545,6545,0.916478,6545,6545,3.668378
clay0205hfsg,8092.5,8092.500000000955,0,302.9323520520702,98.05686099988861,0,0,8092.499956870352,8084.9917075000085,0.6288005788810551,124.80930791189894,123.22799078980461,1.5813171220943332,5,15,4,4,1,8600.9349061685,8600.9349061685,0.6241293353959918,38.380383760202676,37.370949558448046,1.0094342017546296,4,8,4,4,0,8092.499859901237,8092.499859901237,3.778141318,3,0010,30,8092.499998921639,8011.80237137899,12.887191,8092.5,8012.500000000001,21.546509
clay0303hfsg,26669.10957,26669.109572486403,0,7.253073371946812,1.9490380000001508,0,0,26669.109551317826,26669.10549174709,0.12455204082652926,4.2735541220754385,2.6577284643426538,1.6158256577327847,9,35,26,7,3,47287.561323850285,47287.55903894323,0.131615636870265,2.2568279649131,1.574419226963073,0.682408737950027,6,24,22,6,0,26669.092175553928,26669.092175553928,0.979395187,5,0010,120,26669.109572740843,26458.10032464017,0.6625510000000001,26669.109572280402,26669.1095722804,2.6230990000000003
clay0304hfsg,40262.38753,40262.38753060858,0,97.51774627715349,28.290127999980584,0,0,40262.38749701294,40262.367038031516,0.31459630699828267,15.691325108055025,9.205426948610693,6.485898159444332,11,43,30,9,5,64167.74654635093,64167.74132262877,0.31653775507584214,6.429881114978343,4.994153860025108,1.4357272549532354,6,23,21,6,0,40262.387440997947,40262.387440997947,4.831015237,10,0010,80,40262.3875307319,39879.81304499139,8.678494,40262.38753020098,40262.38753020098,8.365646
clay0305hfsg,8092.5,8320.0000000009,0,302.7536187181249,101.98047099996293,0,0,8092.4999566980505,8092.435439999993,0.7405579471960664,157.92395825590938,156.4482514746487,1.4757067812606692,4,14,6,3,3,8218.940348425174,8218.940348425174,0.7239885572344065,80.07783375121653,79.92244570469484,0.15538804652169347,2,6,1,2,0,8092.4998599011451,8092.4998599011451,6.820155356,8,0010,140,8092.5,8012.688940202791,12.86982,8092.499966935132,8092.499966935132,27.649364
cvxnonsep_normcon20,-21.74914736,-21.749147363703806,0,0.032731592655181885,0.038281,0,0,-21.7491473846331,-21.82222547389317,0.02202482195571065,0.021173305809497833,0.009257749188691378,0.011915556620806456,2,2,0,2,1,-21.7491473846331,-21.206724671589807,0.01978222606703639,0.01691134413704276,0.007660296279937029,0.009251047857105732,2,2,0,2,0,-21.719247990639417,-21.750459154164165,0.021526086,0,0000,00,-21.731620894918212,-21.76306471678597,0.013292,-21.749147364359114,-21.74924416566666,0.038187
cvxnonsep_normcon30,-34.24396574,-34.24396574092516,0,0.05248631536960602,0.09704499999999999,0,0,-34.2275120670215,-34.428749859066556,0.01800536597147584,0.02387175615876913,0.010469705797731876,0.013402050361037254,2,2,0,2,1,-34.2275120670215,-32.94921254089779,0.01735023595392704,0.01926147611811757,0.008607789408415556,0.010653686709702015,2,2,0,2,0,-34.243965742743029,-34.243968726399672,0.028475537,1,0000,00,-34.23926411367677,-34.24642479015976,0.014382,-34.23043478999999,-34.26189063375,0.017483000000000002
cvxnonsep_normcon40,-32.62966972,-32.629669716769314,0,0.07080560084432364,0.16576300000000005,0,0,-32.6296697474825,-32.88554272835089,0.02544644894078374,0.029068404342979193,0.012921835295855999,0.016146569047123194,2,2,0,2,1,-32.6296697474825,-31.163218758702257,0.024612634908407927,0.023878605104982853,0.010746900457888842,0.013131704647094011,2,2,0,2,0,-32.629669718429504,-32.629672354984017,0.033069458,1,0000,00,-32.62966848824743,-32.63323863687672,0.015177,-32.629655769396265,-32.62966975433859,0.04937599999999996
cvxnonsep_nsig20,80.94929546,80.94929545987223,0,0.04136878065764904,0.04750599999999999,0,0,80.9492946574176,80.81583433225808,0.014421411789953709,0.020912656094878912,0.008981837425380945,0.011930818669497967,2,2,0,2,1,80.9492946574176,81.0242087541372,0.01371229998767376,0.016649141907691956,0.007349610794335604,0.009299531113356352,2,2,0,2,0,80.999857231192038,80.340555408788731,0.085984744,4,0010,30,81.5817021116515,80.76929550587813,0.036597000000000005,80.9651940805831,80.17169218132975,38.982749999999996
cvxnonsep_nsig20r,80.94929546,80.9492954596234,0,0.04646598547697067,0.04117,0,0,81.49159484565594,80.81581789826072,0.01737482100725174,0.1349796592257917,0.04639320494607091,0.08858645427972078,5,11,1,5,0,92.54757175177032,97.27747523667496,0.016590955201536417,0.024253313895314932,0.011389863211661577,0.012863450683653355,2,2,0,2,0,80.989026230704965,80.711851496786849,0.174943293,4,0010,30,81.27573104790591,80.68998022595089,0.028103,81.0814978336423,80.94899210294963,0.061873
cvxnonsep_nsig30,130.6287126,130.62871264096864,0,0.05923274718225002,0.10607000000000001,0,0,130.65033700034454,130.47997176012416,0.01857025409117341,0.025565763004124165,0.011922060512006283,0.013643702492117882,2,2,0,2,1,130.65033700034454,135.61666973861585,0.01764042302966118,0.020764224231243134,0.010041006840765476,0.010723217390477657,2,2,0,2,0,130.960522840875,130.30354926105841,0.063447467,2,0000,30,130.73847192950646,129.4357201495071,0.037924,131.3243854397202,110.1217857903046,301.154833
