id,path,obj,dual_obj,load_time,calc_time,solver_time,python_time,iter_nr,NLP_runs,FNLP_runs,MIQP_runs,MILP_runs
0,batch.nl,285506.50498104404,285506.50498104404,1.0170042514801025e-06,0.09245823789387941,0.06683074124157429,0.025627496652305126,2,5,0,2,1
1,batch0812.nl,2944490.714678177,2944490.714678177,0.1725916499271989,0.2987196738831699,0.19414555467665195,0.10457411920651793,3,5,1,3,2
2,batchdes.nl,167427.65337972456,167427.65337972456,0.026170119177550077,0.02741022501140833,0.014444100670516491,0.012966124340891838,2,3,0,2,1
3,clay0203hfsg.nl,41573.26250375058,41176.74005652359,0.09631488472223282,1.4490870642475784,0.9645442059263587,0.4845428583212197,6,19,13,3,3
4,clay0204hfsg.nl,6544.999962872584,6544.964975001819,0.2595738656818867,8.549020403064787,8.133779529016465,0.41524087404832244,3,11,5,3,1
5,clay0205hfsg.nl,8092.499956870352,8084.9917075000085,0.6288005788810551,124.80930791189894,123.22799078980461,1.5813171220943332,5,15,4,4,1
6,clay0303hfsg.nl,26669.109551317826,26669.10549174709,0.12455204082652926,4.2735541220754385,2.6577284643426538,1.6158256577327847,9,35,26,7,3
7,clay0304hfsg.nl,40262.38749701294,40262.367038031516,0.31459630699828267,15.691325108055025,9.205426948610693,6.485898159444332,11,43,30,9,5
8,clay0305hfsg.nl,8092.4999566980505,8092.435439999993,0.7405579471960664,157.92395825590938,156.4482514746487,1.4757067812606692,4,14,6,3,3
9,cvxnonsep_normcon20.nl,-21.7491473846331,-21.82222547389317,0.02202482195571065,0.021173305809497833,0.009257749188691378,0.011915556620806456,2,2,0,2,1
10,cvxnonsep_normcon30.nl,-34.2275120670215,-34.428749859066556,0.01800536597147584,0.02387175615876913,0.010469705797731876,0.013402050361037254,2,2,0,2,1
11,cvxnonsep_normcon40.nl,-32.6296697474825,-32.88554272835089,0.02544644894078374,0.029068404342979193,0.012921835295855999,0.016146569047123194,2,2,0,2,1
12,cvxnonsep_nsig20.nl,80.9492946574176,80.81583433225808,0.014421411789953709,0.020912656094878912,0.008981837425380945,0.011930818669497967,2,2,0,2,1
13,cvxnonsep_nsig20r.nl,81.49159484565594,80.81581789826072,0.01737482100725174,0.1349796592257917,0.04639320494607091,0.08858645427972078,5,11,1,5,0
14,cvxnonsep_nsig30.nl,130.65033700034454,130.47997176012416,0.01857025409117341,0.025565763004124165,0.011922060512006283,0.013643702492117882,2,2,0,2,1
15,cvxnonsep_nsig30r.nl,157.24837347429536,156.2343211644331,0.02478347299620509,0.16539926920086145,0.06307643977925181,0.10232282942160964,5,7,1,5,0
16,cvxnonsep_nsig40.nl,133.96132894832803,133.74494901551313,0.02614636579528451,0.029450569301843643,0.013291386421769857,0.016159182880073786,2,2,0,2,1
17,cvxnonsep_nsig40r.nl,134.61160703345774,133.74488859965595,0.03395099379122257,0.2591075310483575,0.08976003294810653,0.16934749810025096,4,10,1,4,0
18,cvxnonsep_pcon20.nl,-21.469437905707228,-21.629610239291956,0.015619682613760233,0.024982809089124203,0.011549219023436308,0.013433590065687895,2,2,0,2,1
19,cvxnonsep_pcon20r.nl,-21.46943786371748,-21.62961019921222,0.025932372082024813,0.022413066122680902,0.008701999206095934,0.013711066916584969,2,2,0,2,0
20,enpro48pb.nl,187277.25576018236,187276.88840525987,0.2362434039823711,0.9828008557669818,0.5433395779691637,0.4394612777978182,4,12,0,4,3
21,enpro56pb.nl,263590.2148778148,263425.2509747011,0.17840318009257317,0.8763464707881212,0.5377976270392537,0.3385488437488675,4,8,1,4,2
22,ex1223.nl,4.579582373600571,4.579572227171747,0.018534664064645767,0.08050225907936692,0.029313599690794945,0.05118865938857198,5,11,0,3,3
23,ex1223b.nl,4.57958237379399,4.57958237379399,0.010095966048538685,0.09368898626416922,0.030990002676844597,0.06269898358732462,6,12,0,2,5
24,fac1.nl,160912612.2935292,160912612.2935292,0.013558635022491217,1.3439091043546796,1.331333966460079,0.01257513789460063,2,3,1,2,1
25,fac2.nl,331837497.8380618,329739765.28796196,0.029133389703929424,0.044132377952337265,0.029266840312629938,0.014865537639707327,2,2,0,2,1
26,flay02h.nl,37.94733186289341,37.94733188293823,0.027043031994253397,0.07442357111722231,0.037489908281713724,0.036933662835508585,3,5,0,2,1
27,flay02m.nl,37.947331824571066,37.94732792388921,0.011879694182425737,0.03506576968356967,0.018430077005177736,0.016635692678391933,3,4,0,2,1
28,flay03h.nl,48.98979483505556,48.82645421232829,0.09817035496234894,1.3783191847614944,0.7813416202552617,0.5969775645062327,7,24,0,2,5
29,flay03m.nl,48.98979474823483,48.82644548785274,0.020778182428330183,0.3595457230694592,0.22282511508092284,0.13672060798853636,7,24,0,2,5
30,flay04h.nl,54.405882040370976,54.07340864163747,0.33622484281659126,11.30128283938393,8.887282860465348,2.413999978918582,8,30,0,3,6
31,flay04m.nl,54.40588191689521,53.958489867370204,0.039588917046785355,2.529485479928553,2.1777783022262156,0.3517071777023375,8,34,0,2,6
32,flay05h.nl,64.49806200887178,63.940366756001524,0.8840983593836427,301.41415900783613,291.8305989499204,9.583560057915747,11,45,0,2,9
33,flay05m.nl,64.4980618554824,63.940564629725365,0.06400100234895945,61.54146958189085,60.274485021829605,1.2669845600612462,11,51,0,2,9
34,flay06h.nl,66.93280221466435,65.15990673956081,2.1035616351291537,301.95402587065473,294.07009025570005,7.88393561495468,7,29,0,2,5
35,flay06m.nl,66.93280199093869,65.19060435394492,0.09299525106325746,300.3159369430505,299.06925155222416,1.2466853908263147,8,36,0,2,6
36,fo7.nl,20.72982471767988,20.729581401731448,0.1630289126187563,97.79366494808346,96.56673141662031,1.2269335314631462,6,26,18,3,3
