id,path,obj,dual_obj,calc_time
0,4stufen.mod,116497.585926777,104053.780804001,300.16965200000004
1,autocorr_bern20-05.mod,-368,-8192,0.044674
2,autocorr_bern20-10.mod,-1760,-44880,0.163489
3,autocorr_bern20-15.mod,-5052,-99176,0.383285
4,autocorr_bern25-06.mod,-232,-23360,0.06999900000000005
5,autocorr_bern25-13.mod,0,-131872,0.316208
6,autocorr_bern25-19.mod,-10972,-254268,0.822826
7,autocorr_bern25-25.mod,-9780,-187616,0.92381
8,autocorr_bern30-04.mod,-280,-2376,0.055948000000000005
9,autocorr_bern30-08.mod,-2696,-83168,0.21304900000000002
10,autocorr_bern30-15.mod,-13612,-262976,0.779074
11,autocorr_bern30-23.mod,-28728,-542432,1.853048
12,autocorr_bern30-30.mod,0,-818480,1.790033
13,autocorr_bern35-04.mod,-340,-5632,0.053670999999999996
14,autocorr_bern35-09.mod,-4640,-75168,0.37152799999999997
15,autocorr_bern35-18.mod,-29928,-540864,2.236701
16,autocorr_bern35-26.mod,0,-1999680,2.423852
17,autocorr_bern35-35fix.mod,-16504,-739796,3.479497
18,autocorr_bern40-05.mod,-600,-18432,0.069061
19,autocorr_bern40-10.mod,0,-126480,0.31996699999999995
20,autocorr_bern40-20.mod,0,-1779120,2.121772
21,autocorr_bern40-30.mod,-30208,-1740040,3.6837470000000003
22,autocorr_bern40-40.mod,-51300,-1236880,4.456685
23,autocorr_bern45-05.mod,-716,-20992,0.078915
24,autocorr_bern45-11.mod,-10964,-199500,0.684373
25,autocorr_bern45-23.mod,-78816,-1529132,3.47517
26,autocorr_bern45-34.mod,-130952,-2825936,5.970968
27,autocorr_bern45-45.mod,0,-4128832,6.318347
28,autocorr_bern50-06.mod,-464,-52560,0.135085
29,autocorr_bern50-13.mod,-21936,-385472,1.429034
30,autocorr_bern50-25.mod,-101244,-2257216,3.8784829999999997
31,autocorr_bern50-38.mod,-180648,-4354344,10.159746
32,autocorr_bern50-50.mod,0,-6177600,9.365457
33,autocorr_bern55-06.mod,-504,-58400,0.18596700000000005
34,autocorr_bern55-14.mod,-27848,-548016,1.618415
35,autocorr_bern55-28.mod,-154968,-3485664,7.031427
36,autocorr_bern55-41.mod,0,-6339040,11.695504
37,autocorr_bern55-55.mod,0,-8900712,14.000523
38,autocorr_bern60-08.mod,-1452,-95824,0.44552099999999994
39,autocorr_bern60-15.mod,0,-756056,2.2971690000000002
40,autocorr_bern60-30.mod,0,-9600080,6.506858
41,autocorr_bern60-45.mod,0,-9057216,15.715934
42,autocorr_bern60-60.mod,0,-12980560,20.260101000000002
43,batch0812_nc.mod,2687026.7842490394,2661286.039083969,0.055597999999999995
44,batch_nc.mod,285506.50824420404,240172.4527386056,0.06481200000000001
45,beuster.mod,116679.30503821943,102226.0347454173,300.066375
46,casctanks.mod,9.175195048783587,8.71997089005432,7.80987
47,case_1scv2.mod,0,283192535946.0596,300.037827
48,cecil_13.mod,-115656.49967726362,-116529.835732604,0.313005
49,chp_partload.mod,24.72378794608463,24.72378794608463,230.358322
50,chp_shorttermplan1a.mod,215.15062929946527,213.3998638009695,0.718875
51,chp_shorttermplan1b.mod,254.31387630636726,251.7955709083296,82.977444
52,chp_shorttermplan2a.mod,245800.4120549142,243342.6723282869,9.391062999999999
53,chp_shorttermplan2b.mod,-162707.95528553068,-164313.2358190779,6.290452
54,chp_shorttermplan2c.mod,0,417718.3521418512,300.058961
55,chp_shorttermplan2d.mod,487223.4855456883,475561.6609468303,300.087293
56,contvar.mod,828200.6680749236,490034.9069923257,300.04162499999995
57,csched1.mod,-30639.25784498593,-30924.18466667764,0.196041
58,csched1a.mod,-29885.270993199236,-32042.86921121677,0.038606
59,csched2.mod,-165977.6547105573,-166697.0282865502,62.937473000000004
60,csched2a.mod,-165202.31129133262,-166807.8322717216,3.5859170000000002
61,deb10.mod,0,-3.154809746774845e-12,0.5089090000000001
62,deb6.mod,0,0,15.950236
63,deb7.mod,0,0,300.03869
64,deb8.mod,0,0,287.245066
65,deb9.mod,0,0,300.096338
66,eg_all_s.mod,0,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104,2.3432899999999997
67,eg_disc2_s.mod,5.88669499573929,5.88669499573929,2.151098
68,eg_disc_s.mod,6.191829847658548,6.191829847658548,1.022055
69,eg_int_s.mod,11.65415903480683,11.65415903480683,69.5962
70,eniplac.mod,-131358.6828913684,-132341.9571801993,0.032522
71,ex1221.mod,7.667180068813135,7.667180068813131,0.009558
72,ex1222.mod,1.0765430863333172,1.076543083332262,0.01004
73,ex1224.mod,-0.9434704979969407,-0.9479361306362163,0.017270999999999998
74,ex1225.mod,31,31,0.01068
75,ex1226.mod,-17,-17.15131629947626,0.011038
76,ex1233.mod,155522.4621652505,114458.646914129,0.42729300000000003
77,ex1243.mod,83402.50641025591,83402.3612041677,0.07946399999999999
78,ex1244.mod,82042.90522137925,82042.90522137923,0.1200150000000001
79,ex1252.mod,131639.7275057997,91756.14720626464,0.479486
80,ex1252a.mod,134471.56041876134,40249.62947359228,0.23127699999999998
81,ex3pb.mod,68.671799605337,67.99069468901536,0.012954
82,feedtray.mod,-37.5,-68.6842105263158,0.25796199999999997
83,fin2bb.mod,704.7214254696135,-1.13686837721616e-13,25.681864
84,gams02.mod,99281383.35356255,58990045.87652133,300.083005
85,gams04.mod,417790.3657230452,418284.5900716535,1.0576980000000002
86,gasnet.mod,7010894.437078356,2769220.922951486,300.36740100000003
87,gastrans.mod,89.08584001399602,89.08583999999979,0.021009
88,gastrans040.mod,0,0,1.571628
89,gastrans135.mod,0,0,80.741494
90,gastrans582_cold13.mod,0,0,68.537743
91,gastrans582_cold13_95.mod,0,0,11.056087000000002
92,gastrans582_cold17.mod,0,0,14.253156
93,gastrans582_cold17_95.mod,0,0,300.03874
94,gastrans582_cool12.mod,0,0,14.677439
95,gastrans582_cool12_95.mod,0,0,53.482685
96,gastrans582_cool14.mod,0,0,65.85055700000001
97,gastrans582_cool14_95.mod,0,0,16.307413
98,gastrans582_freezing27.mod,FAILED,infeasible,20.214609
99,gastrans582_freezing27_95.mod,FAILED,infeasible,4.202640000000001
100,gastrans582_freezing30.mod,0,0,12.696842
101,gastrans582_freezing30_95.mod,0,0,17.558864
102,gastrans582_mild10.mod,0,0,5.178623
103,gastrans582_mild10_95.mod,0,0,45.772344000000004
104,gastrans582_mild11.mod,0,0,16.204933
105,gastrans582_mild11_95.mod,0,0,9.219086
106,gastrans582_warm15.mod,0,0,38.193256000000005
107,gastrans582_warm15_95.mod,0,0,14.456861
108,gastrans582_warm31.mod,0,0,8.850442
109,gastrans582_warm31_95.mod,0,0,45.675597
110,gear4.mod,1.643428473966196,1.643428473966196,0.073519
111,ghg_1veh.mod,7.867977210082277,-1.075874754000305,0.05831
