id,path,obj,dual_obj,calc_time
0,4stufen.mod,8318.263599444621,102051.0348362561,300.48681899999997
1,autocorr_bern20-05.mod,-337,-3606,0.046076
2,autocorr_bern20-10.mod,-2552,-44880,0.166767
3,autocorr_bern20-15.mod,-364,-99176,0.41192900000000005
4,autocorr_bern25-06.mod,-824,-11369,0.07436
5,autocorr_bern25-13.mod,-264,-263744.000000001,0.325925
6,autocorr_bern25-19.mod,-612,-508536.000000001,0.8419399999999999
7,autocorr_bern25-25.mod,-1104,-375232.000000001,0.9454419999999999
8,autocorr_bern30-04.mod,-252,-2044,0.057427
9,autocorr_bern30-08.mod,-2520,-40724,0.219463
10,autocorr_bern30-15.mod,-772,-525952,0.795359
11,autocorr_bern30-23.mod,-924,-1084864.000000001,1.884692
12,autocorr_bern30-30.mod,-2880,-818480,1.834416
13,autocorr_bern35-04.mod,-264,-2486,0.056374
14,autocorr_bern35-09.mod,-3524,-75168,0.37714500000000006
15,autocorr_bern35-18.mod,-544,-1081728.000000001,2.270831
16,autocorr_bern35-26.mod,-1200,-1999680.000000001,2.4845520000000003
17,autocorr_bern35-35fix.mod,-4000,-1479592.000000001,3.555277
18,autocorr_bern40-05.mod,-744,-8996,0.070903
19,autocorr_bern40-10.mod,-144,-252960.000000001,0.33093900000000004
20,autocorr_bern40-20.mod,-684,-1779120.000000001,2.172652
21,autocorr_bern40-30.mod,-1624,-3480080.000000001,3.776228
22,autocorr_bern40-40.mod,0,-2473760.000000001,4.592166
23,autocorr_bern45-05.mod,-848,-10248,0.080476
24,autocorr_bern45-11.mod,-180,-399000.000000001,0.69528
25,autocorr_bern45-23.mod,-924,-3058264.000000001,3.545716
26,autocorr_bern45-34.mod,0,-5651872.000000002,6.138623
27,autocorr_bern45-45.mod,0,-100000000000000000000,6.4226220000000005
28,autocorr_bern50-06.mod,-40,-52560.000000001,0.137816
29,autocorr_bern50-13.mod,-564,-770944,1.445479
30,autocorr_bern50-25.mod,0,-4514432.000000002,3.9625459999999997
31,autocorr_bern50-38.mod,-2664,-8708688,10.395861
32,autocorr_bern50-50.mod,0,-100000000000000000000,9.554009
33,autocorr_bern55-06.mod,-2104,-29200,0.191738
34,autocorr_bern55-14.mod,-312,-1096032.000000001,1.652352
35,autocorr_bern55-28.mod,0,-6971328.000000002,7.193388000000001
36,autocorr_bern55-41.mod,0,-100000000000000000000,11.913326
37,autocorr_bern55-55.mod,0,-100000000000000000000,14.289280000000002
38,autocorr_bern60-08.mod,-84,-191648.000000001,0.45448700000000003
39,autocorr_bern60-15.mod,-364,-1512112.000000001,2.3353960000000002
40,autocorr_bern60-30.mod,0,-100000000000000000000,6.555387
41,autocorr_bern60-45.mod,0,-100000000000000000000,15.863103
42,autocorr_bern60-60.mod,0,-100000000000000000000,20.665832
43,batch0812_nc.mod,2687608.737682776,2671240.865929062,0.558014
44,batch_nc.mod,45958.30594200607,187265.7473530618,0.06577
45,beuster.mod,121407.0677900762,26290.8689932756,300.62573000000003
