id,path,obj,dual_obj,calc_time,NLP_runs,MIP_runs,relaxed_MIP_runs
0,name,NAN,NAN,NAN,NAN,NAN,NAN
1,4stufen,1.7976931348623157e+308,91797.544246923382,17.464960748000003,10,00140,00
2,autocorr_bern20-05,-416,-416,4.103239645,0,0010,10
3,autocorr_bern20-10,-2936.0000000099894,-2964,60.527707539999994,2,0010,10
4,autocorr_bern20-15,-5960.0000005961047,-5960.0000005961047,166.456351905,3,0010,10
5,autocorr_bern25-06,-960.00000009610085,-960.00000009610085,46.619228983999996,1,0010,10
6,autocorr_bern25-13,-8148.0000000099872,-11701.454545454542,299.95387176199995,5,1000,10
7,autocorr_bern25-19,-14560.000001456123,-63690.42541933481,299.93560749600005,5,1000,10
8,autocorr_bern25-25,-10572.000000009988,-56666.134556370831,299.932036403,7,1000,10
9,autocorr_bern30-04,-324,-324,6.588986372,0,0010,10
10,autocorr_bern30-08,-2952.0000000099899,-4451.8571428571431,299.965034007,2,1000,10
11,autocorr_bern30-15,-15620.000000009988,-55594.292702881889,299.930107633,5,1000,10
12,autocorr_bern30-23,-30264.00000000999,-173389.99147920907,299.926613925,7,1000,10
13,autocorr_bern30-30,-22296.000000009986,-160669.4480484408,299.90364840899997,3,1000,10
14,autocorr_bern35-04,-384,-384,10.103364561000001,0,0010,10
15,autocorr_bern35-09,-5080.0000000099899,-12021.612698412699,299.951289835,3,1000,10
16,autocorr_bern35-18,-31056.000000009994,-168438.5231193926,299.939042822,7,1000,10
17,autocorr_bern35-26,-55040.00000000999,-399274.47383611766,299.924912694,7,1000,10
18,autocorr_bern35-35fix,-40172.00000000999,-309017.19740466285,299.820767703,6,1000,10
19,autocorr_bern40-05,-936.00000000999,-1086.8000000000006,299.98715786,2,1000,10
20,autocorr_bern40-10,-8216.0000000099899,-30943.867067896423,299.939484234,5,1000,10
21,autocorr_bern40-20,-50192.00000000999,-341136.48022230784,299.959747203,10,1000,10
22,autocorr_bern40-30,-94624.000000009997,-792014.50273957779,299.941727814,5,1000,10
23,autocorr_bern40-40,-65928.000000009997,-599825.24162564136,299.854170003,5,1000,10
24,autocorr_bern45-05,-1064.0000000099899,-1364.9047619047622,299.99331967700004,2,1000,10
25,autocorr_bern45-11,-12664.00000000999,-59524.692828293024,299.935458047,8,1000,10
26,autocorr_bern45-23,-84900.000000009983,-640154.58262957016,299.94822439800004,7,1000,10
27,autocorr_bern45-34,-151256.00000000995,-1428273.9040964479,299.959693444,5,1000,10
28,autocorr_bern45-45,-108164.00000000998,-1108302.510378313,299.951319986,5,1000,10
29,autocorr_bern50-06,-2160.0000000099899,-3850.1507321607783,299.96802351599996,2,1000,10
30,autocorr_bern50-13,-23504.000002350542,-141987.98096167971,299.932209503,10,1000,10
31,autocorr_bern50-25,-123120.00000001,-1180077.156155637,300.047997351,6,1000,10
32,autocorr_bern50-38,-211248.00000000995,-2480562.2700089649,299.79644346699996,5,1000,10
33,autocorr_bern50-50,-162584.00000000998,-1823601.7523114784,299.934716996,5,1000,10
34,autocorr_bern55-06,-2400.0000000099899,-4635.5171539053526,299.96974761599995,1,1000,10
35,autocorr_bern55-14,-33008.00000000999,-218827.24746827007,299.919538198,7,1000,10
36,autocorr_bern55-28,-187888.00000001001,-1791402.3209304612,299.962857986,8,1000,10
37,autocorr_bern55-41,-329912.00000001001,-3840610.5316228867,299.73362402600003,5,1000,10
38,autocorr_bern55-55,-227548.00000000998,-2946371.2297174605,299.973099118,4,1000,10
39,autocorr_bern60-08,-6740.0000000099908,-20811.393158045346,299.93590067,3,1000,10
40,autocorr_bern60-15,-44628.000000009997,-309142.71846828121,299.88734808699996,7,1000,10
41,autocorr_bern60-30,-258360.00000000998,-2717248.1109253364,299.793251755,10,1000,10
42,autocorr_bern60-45,-466888.00000001007,-6302164.6777219707,299.967896336,5,1000,10
43,autocorr_bern60-60,-331796.00000001001,-4881555.4999999981,300.00178471500004,5,1000,10
44,batch0812_nc,2687026.7795078037,747572.16962811037,0.26881327299999996,2,0020,00
45,batch_nc,285506.50789399678,60414.183888101063,0.323977448,4,00160,00
46,beuster,NAN,NAN,NAN,NAN,NAN,NAN
47,casctanks,9.1634771241568842,-691.36200000000088,12.554742237,17,0060,00
48,case_1scv2,NAN,NAN,NAN,NAN,NAN,NAN
49,cecil_13,-109846.90821602551,-394662.08555510978,11.138939002,9,0090,00
50,chp_partload,1.7976931348623157e+308,-1.7976931348623157e+308,0.31151905599999996,0,0000,00
51,chp_shorttermplan1a,336.44436334638243,214.83888038263567,300.65818579399996,48,210200,00
52,chp_shorttermplan1b,1.7976931348623157e+308,242.35555653698239,400.151573869,10,1000,00
