name,primalbound,dualbound,objsense,cvx_bonmin.obj,cvx_bonmin.dual_obj,cvx_bonmin.load_time,cvx_bonmin.calc_time,cvx_bonmin.solver_time,cvx_bonmin.python_time,cvx_bonmin.iter_nr,cvx_bonmin.NLP_runs,cvx_bonmin.FNLP_runs,cvx_bonmin.MIQP_runs,cvx_bonmin.MILP_runs,cvx_sbmiqp.obj,cvx_sbmiqp.dual_obj,cvx_sbmiqp.load_time,cvx_sbmiqp.calc_time,cvx_sbmiqp.solver_time,cvx_sbmiqp.python_time,cvx_sbmiqp.iter_nr,cvx_sbmiqp.NLP_runs,cvx_sbmiqp.FNLP_runs,cvx_sbmiqp.MIQP_runs,cvx_sbmiqp.MILP_runs,cvx_sbmiqp_ee.obj,cvx_sbmiqp_ee.dual_obj,cvx_sbmiqp_ee.load_time,cvx_sbmiqp_ee.calc_time,cvx_sbmiqp_ee.solver_time,cvx_sbmiqp_ee.python_time,cvx_sbmiqp_ee.iter_nr,cvx_sbmiqp_ee.NLP_runs,cvx_sbmiqp_ee.FNLP_runs,cvx_sbmiqp_ee.MIQP_runs,cvx_sbmiqp_ee.MILP_runs,cvx_shot.obj,cvx_shot.dual_obj,cvx_shot.calc_time,cvx_shot.NLP_runs,cvx_shot.MIP_runs,cvx_shot.relaxed_MIP_runs,cvx_gurobi.obj,cvx_gurobi.dual_obj,cvx_gurobi.calc_time,cvx_scip.obj,cvx_scip.dual_obj,cvx_scip.calc_time
batch,285506.5082,285506.5082,min,285506.5082441529,-inf,0,0.2926143612712621,,0.0,0.0,0.0,0.0,0.0,0.0,300804.8921397765,300804.8921397765,1.4295801520347595e-06,0.1142531866207718,0.0700568100437522,0.0441963765770196,4.0,4.0,0.0,4.0,2.0,309205.3192681313,309205.3192681313,9.927898645401e-07,0.0994620211422443,0.0654429830610752,0.0340190380811691,4.0,6.0,0.0,4.0,0.0,285506.91057224304,282684.1158733806,0.111278817,1,0,390,285506.50824409,285439.2334564008,0.097949,285506.5082439559,282735.915155506,0.4445519999999999
batch0812,2687026.784,2687026.784,min,2687026.784247936,-inf,0,1.7803766466677189,,0.0,0.0,0.0,0.0,0.0,0.0,3109204.807645933,3109204.8076459332,0.13235919270664454,0.2954442864283919,0.1690919073298573,0.1263523790985345,2.0,3.0,1.0,2.0,1.0,3109204.807645933,3109204.8076459332,0.13792993687093258,0.2751321671530604,0.1595497895032167,0.1155823776498436,2.0,3.0,1.0,2.0,0.0,2705840.541362369,2705840.438904829,0.482417225,10,30,280,2702301.4715899015,2678869.934685793,0.054998,2687026.7844078485,2660956.101105834,0.269128
batchdes,167427.6571,167427.6571,min,167427.65711474538,-inf,0,0.0486889900639653,,0.0,0.0,0.0,0.0,0.0,0.0,167427.65337972456,167427.65337972456,0.02671113982796669,0.0272781457751989,0.0133071513846516,0.0139709943905472,2.0,2.0,0.0,2.0,1.0,167427.65337972456,167427.65337972456,0.03646692540496588,0.032236692495644,0.0160355791449546,0.0162011133506894,3.0,3.0,0.0,3.0,0.0,167427.73779460462,167426.0428667151,0.067623776,1,0,90,167427.6571147706,167358.1632579224,0.014794,167427.6563284942,167427.6567828456,0.02782
batchs101006m,769440.4204,769440.42,min,769440.4203861856,-inf,0,14.523179400712252,,0.0,0.0,0.0,0.0,0.0,0.0,769440.4053867864,766094.8206183895,1.2026015594601631,6.308887865394354,4.90405538212508,1.4048324832692742,6.0,19.0,3.0,2.0,5.0,769440.4053867864,769440.4053867864,1.1938630463555455,4.833618382923305,2.446693930774927,2.386924452148378,4.0,7.0,2.0,4.0,0.0,776812.3681547226,769159.3731413248,1.289268663,11,0,240,773874.2387356027,766148.8876453808,0.8155589999999999,769440.4203846685,765020.4628263627,6.685445
batchs121208m,1241125.514,1241125.513,min,1241125.5140147626,-inf,0,33.39007259346545,,0.0,0.0,0.0,0.0,0.0,0.0,1245833.9222658663,1237898.3823897266,2.8742121625691652,11.814390099607408,7.868763125501573,3.945626974105835,4.0,14.0,1.0,3.0,2.0,1251917.4517096377,1251917.4517096377,2.859956869855523,5.234826537780464,2.609646775759757,2.625179762020707,2.0,4.0,0.0,2.0,0.0,1241125.4987507,1237548.9373186463,2.394723513,11,0,240,1243960.7677605075,1237284.856438327,1.704621,1241125.5140135444,1232509.969121364,13.527277
batchs151208m,1543472.398,1543472.398,min,1544419.0135443578,-inf,0,170.1777731422335,,0.0,0.0,0.0,0.0,0.0,0.0,1549099.6858157674,1541452.3563751183,3.4694109987467527,13.52512903790921,8.736264548264444,4.788864489644766,3.0,9.0,0.0,3.0,2.0,1555163.0877867392,1555163.0877867392,3.425514026544988,6.349764823913574,3.332153359428048,3.017611464485526,2.0,5.0,0.0,2.0,0.0,1545222.4338594698,1534793.713234739,4.471748275,16,0,240,1543877.7063320307,1530728.303991509,1.10874,1544419.013543287,1532433.221584021,14.883916
batchs201210m,2295348.849,2295348.849,min,2297282.4657952976,-inf,0,175.26172685064375,,0.0,0.0,0.0,0.0,0.0,0.0,2302946.5654196115,2288361.9841444464,5.985284635797143,18.67566037643701,11.95167675241828,6.723983624018729,3.0,9.0,0.0,3.0,1.0,2316313.9250678536,2316313.9250678536,5.905453649349511,11.869640451855958,7.410215117037296,4.459425334818661,2.0,5.0,0.0,2.0,0.0,2297866.4299045084,2281792.5465847845,6.07544733,20,0,260,2304003.736126389,2281015.408076688,2.0707180000000003,2300969.7132348362,2278461.614388489,16.376172999999998
clay0203hfsg,41573.26252,41573.26248,min,41573.262522212506,-inf,0,9.071701226755977,,0.0,0.0,0.0,0.0,0.0,0.0,41709.76921898047,41355.07807397629,0.2119248602539301,3.3071926003322005,2.2696753861382604,1.0375172141939402,7.0,29.0,14.0,6.0,4.0,42098.8448576447,42098.8448576447,0.2096702428534627,1.605994625017047,1.3388585140928626,0.2671361109241843,4.0,16.0,11.0,4.0,0.0,41573.18954085431,41571.56196715218,0.4939433649999999,4,0,30,41573.262522401696,41459.57183353081,0.803416,41573.262522035075,41573.26252203507,1.228033
clay0204hfsg,6545.0,6545.0,min,6545.000000000612,-inf,0,49.23144074715674,,0.0,0.0,0.0,0.0,0.0,0.0,6544.999962872769,6544.964919359913,0.27671683207154274,2.3651207676157355,2.163564489223063,0.2015562783926725,3.0,11.0,3.0,2.0,1.0,6544.999962762632,6544.986165103981,0.2707293005660176,1.6757469326257706,1.4570324532687664,0.2187144793570041,2.0,6.0,3.0,2.0,0.0,6604.999968767816,6604.999968767816,1.5191776179999998,5,10,30,6545,6545,1.048362,6545,6545,4.305618
clay0205hfsg,8092.5,8092.5,min,9710.993669769308,-inf,0,302.66431874781847,,0.0,0.0,0.0,0.0,0.0,0.0,8092.49995669804,8084.956082717378,0.5128026260063052,7.471723326481879,6.621618899516761,0.8501044269651175,2.0,6.0,0.0,2.0,1.0,8092.49995669804,8092.4999566980405,0.48196655232459307,4.590980323962867,3.325025474652648,1.2659548493102193,2.0,6.0,0.0,2.0,0.0,8092.5,8092.5,5.183320867,6,10,30,8092.499998921639,8011.80237137899,14.661497,8092.5,8012.500000000001,25.935905
