id,path,obj,dual_obj,calc_time,NLP_runs,MIP_runs,relaxed_MIP_runs
0,batch,285506.91057224304,282684.11587338062,0.111278817,1,0000,390
1,batch0812,2705840.5413623694,2705840.4389048289,0.482417225,10,0030,280
2,batchdes,167427.73779460462,167426.04286671511,0.06762377600000001,1,0000,90
3,batchs101006m,776812.36815472262,769159.37314132485,1.289268663,11,0000,240
4,batchs121208m,1241125.4987506999,1237548.9373186463,2.3947235129999997,11,0000,240
5,batchs151208m,1545222.4338594698,1534793.7132347389,4.471748275,16,0000,240
6,batchs201210m,2297866.4299045084,2281792.5465847845,6.07544733,20,0000,260
7,clay0203hfsg,41573.189540854313,41571.561967152178,0.49394336499999997,4,0000,30
8,clay0204hfsg,6604.9999687678173,6604.9999687678173,1.5191776179999998,5,0010,30
9,clay0205hfsg,8092.5,8092.5,5.183320867,6,0010,30
10,clay0303hfsg,26669.10279399361,26669.10279399361,0.988212376,5,0010,120
11,clay0304hfsg,40262.387388268049,40262.384041750949,4.162015245,9,0010,70
12,clay0305hfsg,8092.4998599010851,8024.9999999999982,9.912316215,12,0000,140
13,cvxnonsep_normcon20,-21.74910911991018,-21.75052893550378,0.062478911000000005,0,0000,00
14,cvxnonsep_normcon30,-34.036907526955801,-34.243968629485316,0.065252579,0,0000,00
15,cvxnonsep_normcon40,-32.463517379145202,-32.629672354984017,0.133707873,0,0000,00
16,cvxnonsep_nsig20,81.204374000561003,80.415519330215659,0.079380013,1,0000,30
17,cvxnonsep_nsig20r,80.993399161303699,80.6588934115195,0.26726249199999996,7,0040,30
18,cvxnonsep_nsig30,131.1015162477602,130.43076592271871,0.09572069000000001,2,0000,30
19,cvxnonsep_nsig30r,157.46364825513282,155.90162476952193,0.150689017,3,0000,30
20,cvxnonsep_nsig40,134.07419130529081,133.58221864526118,0.10607409999999999,2,0000,50
21,cvxnonsep_nsig40r,134.08441923526561,133.7678332231296,0.147960631,2,0000,50
22,cvxnonsep_pcon20,-21.50052287035874,-21.710512997110659,0.071400971,1,0000,120
23,cvxnonsep_pcon20r,-21.433368727210574,-21.520673508714701,0.106566601,2,0000,140
24,cvxnonsep_pcon30,-35.909885601978125,-36.196506122566554,0.070644635,1,0000,110
25,cvxnonsep_pcon30r,-35.986842339738025,-36.014909395985171,0.135836355,2,0000,100
26,cvxnonsep_pcon40,-46.451410799611743,-46.860864389764423,0.06818833,0,0000,90
27,cvxnonsep_pcon40r,-46.599168894387738,-46.616271186641768,0.24177610700000002,3,0000,90
28,cvxnonsep_psig20,93.875576074338724,93.06689368549263,0.112474972,4,0000,110
29,cvxnonsep_psig20r,96.24988200655099,95.72354408515875,0.107796346,2,0000,80
30,cvxnonsep_psig30,79.192677363686386,78.891949832585084,0.10078925999999999,4,0000,100
31,cvxnonsep_psig30r,79.703412087944784,78.984499755959845,0.207731068,3,0000,100
32,cvxnonsep_psig40,85.569025064225201,85.459387037064644,0.123048822,4,0000,100
33,cvxnonsep_psig40r,86.545101993551398,85.774779227816325,0.28461618,4,0020,100
34,enpro48pb,187277.2561875098,186376.46609932551,0.216223461,2,0010,120
35,enpro56pb,263428.29568168771,262927.55803474784,0.35854142499999997,4,0010,140
36,ex1223,4.5795824024367047,4.5795824024367038,0.055238439,0,0000,20
37,ex1223b,4.579582381569371,4.5793693763166567,0.047746620999999996,0,0000,20
38,fac1,160912612.350169,160905031.08390379,0.08004431499999999,1,0000,240
39,fac2,331837498.17677003,331837498.17677003,0.10705029699999999,1,0010,210
40,flay02h,37.947327663153999,37.947327663153999,0.094292441,2,0010,50
41,flay02m,37.947331782042397,37.947331782042397,0.080785307,2,0010,50
42,flay03h,48.989794407234065,42.559775649633266,299.998040285,4,1058820,130
43,flay03m,48.989778919173851,48.989778919173851,0.28624038799999996,8,0090,130
44,flay04h,54.405862311598099,54.405862311598099,1.25200464,12,0010,50
45,flay04m,54.40586425873046,54.40586425873046,0.8434808690000001,21,0030,120
46,flay05h,64.497775572347166,64.497775572347166,117.575671582,101,0010,80
47,flay05m,64.497997408953836,64.497997408953836,62.142293318,107,0060,160
48,flay06h,66.932675900071672,55.240692124228268,300.04300280999996,207,1000,60
49,flay06m,66.932801855621179,60.017445100141494,299.99426182900004,12,104100,140
50,fo7,20.729815922289244,20.729815922289244,37.859855672,8,0010,50
51,fo7_2,17.749342460973235,17.749342460973235,7.3430589159999995,3,0010,70
52,fo7_ar25_1,23.12101281209376,23.12101281209376,34.271599617,7,0010,20
53,fo7_ar2_1,24.839625553154484,24.839625553154484,24.724999502,4,0010,10
54,fo7_ar3_1,22.517469805813953,22.517469805813953,51.295875342,7,0010,20
55,fo7_ar4_1,20.729823865022517,20.72982386502251,60.974639599,8,0010,20
56,fo7_ar5_1,17.749323442758321,17.749323442758321,28.490637147,6,0010,70
57,fo8,22.381891174150145,22.381891174150145,91.072379679,9,0010,60
58,fo8_ar25_1,28.04517929432528,24.89117267995352,299.996420611,26,1000,100
59,fo8_ar2_1,30.345434907805394,30.043093737865387,283.15559737,18,0000,20
60,fo8_ar3_1,23.910052255294211,23.910052255294211,43.438259122999995,10,0010,130
61,fo8_ar4_1,22.381893991589795,22.381893991589795,44.307898579,8,0010,120
62,fo8_ar5_1,22.381889656770035,22.381889656770035,88.226750568,9,0010,100
63,fo9,23.464277976407512,22.129521159117463,299.990955139,14,1000,50
64,fo9_ar25_1,32.190507400092983,27.604284901128292,299.996296459,8,1000,100
65,fo9_ar2_1,32.62499659929108,29.063542624859437,300.071549684,12,1000,20
66,fo9_ar3_1,24.815475291179105,24.815475291179105,59.442427337,4,0010,130
67,fo9_ar4_1,29.535713885642636,21.213355378339404,300.12960101600004,14,1000,120
68,fo9_ar5_1,24.377975255686522,21.082962623192945,300.06851315700004,24,1000,40
69,gams01,21380.125893643053,1889.1078977554587,299.944822804,20,1000,140
70,ibs2,1.7976931348623157e+308,4.452025347046944,331.53662039799997,22,0040,590
71,jit1,173983.32998164679,173345.7983938875,0.07644129899999999,1,0000,130
72,m3,37.799999999999997,37.799999999999997,0.064415139,0,0010,40
73,m6,82.256875703408326,82.256875703408326,0.301362189,2,0010,40
74,m7,106.75687691365584,106.75687691365584,1.022706638,3,0010,30
