name,primalbound,dualbound,objsense,noncvx_bonmin.obj,noncvx_bonmin.dual_obj,noncvx_bonmin.load_time,noncvx_bonmin.calc_time,noncvx_bonmin.solver_time,noncvx_bonmin.python_time,noncvx_bonmin.iter_nr,noncvx_bonmin.NLP_runs,noncvx_bonmin.FNLP_runs,noncvx_bonmin.MIQP_runs,noncvx_bonmin.MILP_runs,noncvx_sbmiqp.obj,noncvx_sbmiqp.dual_obj,noncvx_sbmiqp.load_time,noncvx_sbmiqp.calc_time,noncvx_sbmiqp.solver_time,noncvx_sbmiqp.python_time,noncvx_sbmiqp.iter_nr,noncvx_sbmiqp.NLP_runs,noncvx_sbmiqp.FNLP_runs,noncvx_sbmiqp.MIQP_runs,noncvx_sbmiqp.MILP_runs,noncvx_sbmiqp_ee.obj,noncvx_sbmiqp_ee.dual_obj,noncvx_sbmiqp_ee.load_time,noncvx_sbmiqp_ee.calc_time,noncvx_sbmiqp_ee.solver_time,noncvx_sbmiqp_ee.python_time,noncvx_sbmiqp_ee.iter_nr,noncvx_sbmiqp_ee.NLP_runs,noncvx_sbmiqp_ee.FNLP_runs,noncvx_sbmiqp_ee.MIQP_runs,noncvx_sbmiqp_ee.MILP_runs,noncvx_shot.obj,noncvx_shot.dual_obj,noncvx_shot.calc_time,noncvx_shot.NLP_runs,noncvx_shot.MIP_runs,noncvx_shot.relaxed_MIP_runs,noncvx_gurobi.obj,noncvx_gurobi.dual_obj,noncvx_gurobi.calc_time,noncvx_scip.obj,noncvx_scip.dual_obj,noncvx_scip.calc_time
4stufen,116329.6706,112657.2579,min,116514.62499395042,-inf,0,1.701737822033465,,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,,,,,,,,,,inf,inf,,,,,,,,,,1.7976931348623157e+308,91797.544246923382,19.176358558,10,00140,00,116497.585926777,104056.44933076,300.187225,8318.263599444621,102042.0867176428,300.504317
autocorr_bern20-05,-416.0,-416.0,min,-407.99999999999,-inf,0,0.014705367386341,,0.0,0.0,0.0,0.0,0.0,0.0,-384.0000000074941,-384.0000000074941,0.10143049899488688,0.0399759905412793,0.0204785047098994,0.0194974858313798,2.0,2.0,0.0,2.0,1.0,-384.0000000074941,-384.0000050873999,0.10392344929277897,0.0351447071880102,0.0204092934727668,0.0147354137152433,2.0,2.0,0.0,2.0,0.0,-416.00000004170033,-416.00000004170033,4.598673906,0,0010,10,-368,-8192,0.050857,-337,-3606,0.050946
autocorr_bern20-10,-2936.0,-2936.0,min,-2887.99999999999,-inf,0,0.1859283186495304,,0.0,0.0,0.0,0.0,0.0,0.0,-2928.0000000074942,-2928.0000223598877,0.6028613317757845,0.2069929782301187,0.1894994918256998,0.0174934864044189,2.0,2.0,0.0,2.0,0.0,-2928.0000000074942,-2928.0000223598877,0.6010520718991756,0.1928677475079894,0.1744048139080405,0.0184629335999488,2.0,2.0,0.0,2.0,0.0,-2936,-2936,65.98954502800001,2,0010,10,-2688,-44880,0.2225859999999999,-2824,-41994,0.2246
autocorr_bern20-15,-5960.0,-5960.0,min,-5819.99999999999,-inf,0,0.2478496860712766,,0.0,0.0,0.0,0.0,0.0,0.0,-5820.000000007494,-5820.000000007494,1.2770332377403975,0.4384409999474883,0.4094865219667554,0.0289544779807329,2.0,2.0,0.0,2.0,1.0,-5820.000000007494,-5820.000023957377,1.2767644692212343,0.4300997694954276,0.4068368440493941,0.0232629254460334,2.0,2.0,0.0,2.0,0.0,-5960.0000005961047,-5960.0000005961047,182.933191026,3,0010,10,-5052,-99176,0.4573129999999999,-364,-99176,0.486748
autocorr_bern25-06,-960.0,-960.0,min,-927.99999999999,-inf,0,0.039033337496221,,0.0,0.0,0.0,0.0,0.0,0.0,-944.000000007494,-944.0000000074941,0.33272772934287786,0.0779213849455118,0.0598320756107568,0.0180893093347549,2.0,2.0,0.0,2.0,1.0,-944.000000007494,-944.0000140323708,0.3334556454792619,0.0655511105433106,0.0516528412699699,0.0138982692733407,2.0,2.0,0.0,2.0,0.0,-960.00000009610085,-960.00000009610085,97.81913667900001,1,0010,10,-592,-23360,0.0899819999999999,-824,-11086,0.090189
autocorr_bern25-13,-8148.0,-8148.000008,min,-8063.99999999999,-inf,0,0.6144940769299865,,0.0,0.0,0.0,0.0,0.0,0.0,-7992.000000007494,-7992.000000007494,1.5594788556918502,0.3647350277751684,0.3319171005859971,0.0328179271891713,2.0,2.0,0.0,2.0,1.0,-7992.000000007494,-7992.000040584548,1.5451896861195564,0.3483392996713519,0.3221095288172364,0.0262297708541154,2.0,2.0,0.0,2.0,0.0,-8144.0000000099853,-11576,299.957649785,5,1000,10,0,-131872,0.381531,-264,-263744.000000001,0.390546
autocorr_bern25-19,-14644.0,-14644.0,min,-14495.99999999999,-inf,0,1.5435353964567184,,0.0,0.0,0.0,0.0,0.0,0.0,-14476.000000007494,-14476.000054584745,3.10049507021904,0.8966504652053118,0.8608101159334183,0.0358403492718935,2.0,2.0,0.0,2.0,0.0,-14476.000000007494,-14476.000054584745,3.1111674243584275,0.9035253059118986,0.8659229902550578,0.0376023156568408,2.0,2.0,0.0,2.0,0.0,-14616.000001461711,-63845.760482180267,299.934166873,4,1000,10,-10972,-254268,0.919119,-612,-508536.000000001,0.937815
autocorr_bern25-25,-10664.0,-10664.0,min,-10431.99999999999,-inf,0,1.80287101585418,,0.0,0.0,0.0,0.0,0.0,0.0,-10544.000000007494,-10544.000000007494,4.097250466234982,0.9820768497884274,0.9291378315538168,0.0529390182346105,2.0,2.0,0.0,2.0,1.0,-10544.000000007494,-10544.000071624914,4.158765513449907,0.9431393621489406,0.900910242460668,0.0422291196882724,2.0,2.0,0.0,2.0,0.0,-10544.00000000999,-54177.933763755711,299.959976765,5,1000,10,-9780,-187616,1.0079,-1104,-375232.000000001,1.031296
autocorr_bern30-04,-324.0,-324.0,min,-319.99999999999,-inf,0,0.0195860601961612,,0.0,0.0,0.0,0.0,0.0,0.0,-320.0000000074941,-320.0000080923262,0.4245786666870117,0.0515699172392487,0.0307015618309378,0.0208683554083108,2.0,2.0,0.0,2.0,0.0,-320.0000000074941,-320.0000080923262,0.39030319452285767,0.0426756283268332,0.0301083466038107,0.0125672817230224,2.0,2.0,0.0,2.0,0.0,-324,-324,5.0965111,0,0010,10,-280,-2376,0.064508,-252,-2044,0.063046
autocorr_bern30-08,-2952.0,-2952.000003,min,-2903.99999999999,-inf,0,0.25952940993011,,0.0,0.0,0.0,0.0,0.0,0.0,-2904.0000000074942,-2904.0000000074942,0.7084670960903168,0.2038882244378328,0.1820765379816293,0.0218116864562034,2.0,2.0,0.0,2.0,1.0,-2904.0000000074942,-2904.0000236123174,0.6531466925516725,0.2325512263923883,0.2137717343866825,0.0187794920057058,2.0,2.0,0.0,2.0,0.0,-2952.0000000099899,-4398.139240506328,299.971053628,2,1000,10,-2696,-83168,0.217199,-2272,-41584,0.22407
autocorr_bern30-15,-15744.0,-17778.0,min,-15423.99999999999,-inf,0,1.0156694380566478,,0.0,0.0,0.0,0.0,0.0,0.0,-15424.000000007494,-15424.000000007494,2.863559058867395,0.8207053244113922,0.7782332580536604,0.0424720663577318,2.0,2.0,0.0,2.0,1.0,-15424.000000007494,-15424.000062652272,2.8770733876153827,0.8076076665893197,0.7709841206669807,0.0366235459223389,2.0,2.0,0.0,2.0,0.0,-15720.000000009992,-55599.341198979644,299.934147773,8,1000,10,-13612,-262976,0.844664,-772,-525952,0.861591
autocorr_bern30-23,-30460.0,-46768.0,min,-30207.99999999999,-inf,0,2.4138235775753856,,0.0,0.0,0.0,0.0,0.0,0.0,-30272.00000000749,-30272.000000007494,6.176481722854078,1.7344303596764803,1.6679869163781404,0.0664434432983398,2.0,2.0,0.0,2.0,1.0,-30272.00000000749,-30272.00010937244,6.184214176610112,1.7603592118248343,1.7020640932023523,0.0582951186224818,2.0,2.0,0.0,2.0,0.0,-30300.000000009986,-171960.67274305542,299.91754466,6,1000,10,-28728,-542432,1.797948,-924,-1084864.000000001,1.807992
autocorr_bern30-30,-22888.0,-37192.0,min,-22567.99999999999,-inf,0,2.740617351606488,,0.0,0.0,0.0,0.0,0.0,0.0,-22512.00000000749,-22512.000133532823,8.187670582905412,1.7974214255809784,1.7328991200774908,0.0645223055034875,2.0,2.0,0.0,2.0,0.0,-22512.00000000749,-22512.000133532823,8.148110861890018,1.9427148727700116,1.8735199607908728,0.0691949119791388,2.0,2.0,0.0,2.0,0.0,-22488.000000009994,-152449.83052038492,299.95310452,8,1000,10,0,-818480,1.833932,-2880,-818480,1.884914
autocorr_bern35-04,-384.0,-384.0,min,-383.99999999999,-inf,0,0.0152752455323934,,0.0,0.0,0.0,0.0,0.0,0.0,-368.0000000074941,-368.0000000074941,0.6972052464261651,0.0481718545779585,0.031105026602745,0.0170668279752135,2.0,2.0,0.0,2.0,1.0,-368.0000000074941,-368.0000082990913,0.7098949030041695,0.0426044194027781,0.0292368400841951,0.013367579318583,2.0,2.0,0.0,2.0,0.0,-384,-384,9.565865901,0,0010,10,-340,-5632,0.059192,-264,-2486,0.0615929999999999
autocorr_bern35-09,-5108.0,-5108.000001,min,-5047.99999999999,-inf,0,0.4550931407138705,,0.0,0.0,0.0,0.0,0.0,0.0,-5080.000000007494,-5080.000040562266,1.117881378158927,0.4356293119490146,0.413288683630526,0.0223406283184885,2.0,2.0,0.0,2.0,0.0,-5080.000000007494,-5080.000040562266,1.0982478223741055,0.4322847574949264,0.4093110952526331,0.0229736622422933,2.0,2.0,0.0,2.0,0.0,-5104.0000000099899,-11544.219182112376,299.966958746,3,1000,10,-4640,-75168,0.451569,-3524,-75168,0.458276
autocorr_bern35-18,-31168.0,-36464.0,min,-31071.99999999999,-inf,0,1.775655759498477,,0.0,0.0,0.0,0.0,0.0,0.0,-30936.00000000749,-30936.000116458334,5.625517563894391,2.416554145514965,2.362830705009401,0.0537234405055642,2.0,2.0,0.0,2.0,0.0,-30936.00000000749,-30936.000116458334,5.651711193844676,2.4232669854536653,2.3666886892169714,0.0565782962366938,2.0,2.0,0.0,2.0,0.0,-31056.000000009994,-168438.5231193926,299.950485801,7,1000,10,-29928,-540864,2.450275,-544,-1081728.000000001,2.483405
autocorr_bern35-26,-55288.0,-83272.25588,min,-54863.99999999999,-inf,0,3.60442668851465,,0.0,0.0,0.0,0.0,0.0,0.0,-55072.00000000749,-55072.000000007494,10.799177342094481,2.6641312912106514,2.565375987440348,0.0987553037703037,2.0,2.0,0.0,2.0,1.0,-55072.00000000749,-55072.000175598965,10.745715605095029,2.5920227663591504,2.505485348403454,0.0865374179556965,2.0,2.0,0.0,2.0,0.0,-55040.00000000999,-394176.75921991636,299.953574628,6,1000,10,0,-1999680,2.711929,-1200,-1999680.000000001,2.777416
autocorr_bern35-35fix,-41068.0,-183683.0,min,-40211.99999999999,-inf,0,5.913584540598095,,0.0,0.0,0.0,0.0,0.0,0.0,-40512.00000000749,-40512.00023919946,14.654355689883232,3.713910831138492,3.612079189158976,0.1018316419795155,2.0,2.0,0.0,2.0,0.0,-40512.00000000749,-40512.00023919946,14.635351156815886,3.801469691097736,3.6963667441159487,0.1051029469817876,2.0,2.0,0.0,2.0,0.0,-40172.00000000999,-317952.67609143449,299.877748026,7,1000,10,-16504,-739796,3.76878,-4000,-1479592.000000001,3.853957
autocorr_bern40-05,-936.0,-936.0000019,min,-911.99999999999,-inf,0,0.033523853868246,,0.0,0.0,0.0,0.0,0.0,0.0,-896.0000000074941,-896.0000000074941,1.171814264729619,0.0644327029585838,0.0458888486027717,0.018543854355812,2.0,2.0,0.0,2.0,1.0,-896.0000000074941,-896.0000153363643,1.2321416726335883,0.0628656921908259,0.0477892812341451,0.0150764109566807,2.0,2.0,0.0,2.0,0.0,-936.00000000999,-1089.0196078431368,299.992542043,2,1000,10,-600,-18432,0.075513,-744,-8996,0.076678
autocorr_bern40-10,-8248.0,-9348.448185,min,-8127.99999999999,-inf,0,0.70066680572927,,0.0,0.0,0.0,0.0,0.0,0.0,-8144.000000007494,-8144.000000007494,1.7213999694213271,0.2895342679694295,0.2589424923062324,0.030591775663197,2.0,2.0,0.0,2.0,1.0,-8144.000000007494,-8144.000046307255,1.8038649084046483,0.3344534607604146,0.3038788195699453,0.0305746411904692,2.0,2.0,0.0,2.0,0.0,-8192.0000000099899,-29837.626409122415,299.938362223,2,1000,10,0,-126480,0.30716,-144,-252960.000000001,0.319388
autocorr_bern40-20,-50576.0,-69964.01329,min,-50055.99999999999,-inf,0,1.891972600482404,,0.0,0.0,0.0,0.0,0.0,0.0,-50240.00000000749,-50240.00018630719,8.92702121566981,2.195962092839181,2.126113834790885,0.0698482580482959,2.0,2.0,0.0,2.0,0.0,-50240.00000000749,-50240.00018630719,8.909477585926652,2.3698618290945888,2.292603563517332,0.0772582655772566,2.0,2.0,0.0,2.0,0.0,-50192.00000000999,-341233.43403820042,299.99328222400004,10,1000,10,0,-1779120,2.249164,-684,-1779120.000000001,2.294292
autocorr_bern40-30,-94992.0,-223432.0603,min,-94288.0,-inf,0,6.607057400979102,,0.0,0.0,0.0,0.0,0.0,0.0,-94520.0000000075,-94520.0000000075,17.999628273770213,4.115472454577684,3.968789553269744,0.1466829013079404,2.0,2.0,0.0,2.0,1.0,-94520.0000000075,-94520.00026084983,17.87483335006982,3.924976235255599,3.799457357265055,0.1255188779905438,2.0,2.0,0.0,2.0,0.0,-94624.000000009997,-808336.87098323402,299.967167092,5,1000,10,-30208,-1740040,4.182637000000001,0,-3480080.000000001,4.299912
autocorr_bern40-40,-68064.0,-213475.0,min,-66663.99999999999,-inf,0,5.1335841761901975,,0.0,0.0,0.0,0.0,0.0,0.0,-67392.0000000075,-67392.0000000075,24.561405380256474,4.664504935033619,4.492343679070473,0.1721612559631467,2.0,2.0,0.0,2.0,1.0,-67392.0000000075,-67392.00038902726,29.934946907684207,4.771847014315426,4.616606933064759,0.1552400812506675,2.0,2.0,0.0,2.0,0.0,-65928.000000009997,-604643.98283064668,299.754513551,5,1000,10,-51300,-1236880,4.751130000000001,0,-100000000000000000000,4.882519
autocorr_bern45-05,-1068.0,-1068.0,min,-1047.99999999999,-inf,0,0.1508677843958139,,0.0,0.0,0.0,0.0,0.0,0.0,-1024.000000007494,-1024.0000191722534,1.8517811773344874,0.078414836898446,0.0619400264695286,0.0164748104289174,2.0,2.0,0.0,2.0,0.0,-1024.000000007494,-1024.0000191722534,1.8641008054837584,0.0644607478752732,0.0496716769412159,0.0147890709340572,2.0,2.0,0.0,2.0,0.0,-1064.0000000099899,-1372.0538302277434,299.98067697399995,2,1000,10,-764,-20992,0.0911,-848,-10248,0.091497
