name,primalbound,dualbound,objsense,noncvx_sbmiqp_010.obj,noncvx_sbmiqp_010.dual_obj,noncvx_sbmiqp_010.load_time,noncvx_sbmiqp_010.calc_time,noncvx_sbmiqp_010.solver_time,noncvx_sbmiqp_010.python_time,noncvx_sbmiqp_010.iter_nr,noncvx_sbmiqp_010.NLP_runs,noncvx_sbmiqp_010.FNLP_runs,noncvx_sbmiqp_010.MIQP_runs,noncvx_sbmiqp_010.MILP_runs,noncvx_sbmiqp_015.obj,noncvx_sbmiqp_015.dual_obj,noncvx_sbmiqp_015.load_time,noncvx_sbmiqp_015.calc_time,noncvx_sbmiqp_015.solver_time,noncvx_sbmiqp_015.python_time,noncvx_sbmiqp_015.iter_nr,noncvx_sbmiqp_015.NLP_runs,noncvx_sbmiqp_015.FNLP_runs,noncvx_sbmiqp_015.MIQP_runs,noncvx_sbmiqp_015.MILP_runs,noncvx_sbmiqp_050.obj,noncvx_sbmiqp_050.dual_obj,noncvx_sbmiqp_050.load_time,noncvx_sbmiqp_050.calc_time,noncvx_sbmiqp_050.solver_time,noncvx_sbmiqp_050.python_time,noncvx_sbmiqp_050.iter_nr,noncvx_sbmiqp_050.NLP_runs,noncvx_sbmiqp_050.FNLP_runs,noncvx_sbmiqp_050.MIQP_runs,noncvx_sbmiqp_050.MILP_runs,noncvx_sbmiqp_100.obj,noncvx_sbmiqp_100.dual_obj,noncvx_sbmiqp_100.load_time,noncvx_sbmiqp_100.calc_time,noncvx_sbmiqp_100.solver_time,noncvx_sbmiqp_100.python_time,noncvx_sbmiqp_100.iter_nr,noncvx_sbmiqp_100.NLP_runs,noncvx_sbmiqp_100.FNLP_runs,noncvx_sbmiqp_100.MIQP_runs,noncvx_sbmiqp_100.MILP_runs,noncvx_sbmiqp_500.obj,noncvx_sbmiqp_500.dual_obj,noncvx_sbmiqp_500.load_time,noncvx_sbmiqp_500.calc_time,noncvx_sbmiqp_500.solver_time,noncvx_sbmiqp_500.python_time,noncvx_sbmiqp_500.iter_nr,noncvx_sbmiqp_500.NLP_runs,noncvx_sbmiqp_500.FNLP_runs,noncvx_sbmiqp_500.MIQP_runs,noncvx_sbmiqp_500.MILP_runs
4stufen,116329.6706,112657.2579,min,inf,inf,,,,,,,,,,inf,inf,,,,,,,,,,inf,inf,,,,,,,,,,inf,inf,,,,,,,,,,inf,inf,,,,,,,,,
autocorr_bern20-05,-416.0,-416.0,min,-384.0000000074941,-384.0000000074941,7.227063179016113e-07,0.0639297533780336,0.0355022447183728,0.0284275086596608,2.0,2.0,0.0,2.0,1.0,-384.0000000074941,-384.0000000074941,0.10143049899488688,0.0399759905412793,0.0204785047098994,0.0194974858313798,2.0,2.0,0.0,2.0,1.0,-384.0000000074941,-384.0000000074941,6.845220923423767e-07,0.036593941040337,0.0195442168042063,0.0170497242361307,2.0,2.0,0.0,2.0,1.0,-384.0000000074941,-384.0000000074941,6.416812539100647e-07,0.0364941330626606,0.0204821741208434,0.0160119589418172,2.0,2.0,0.0,2.0,1.0,-384.0000000074941,-384.0000000074941,6.984919309616089e-07,0.0363732753321528,0.0203737616539001,0.0159995136782526,2.0,2.0,0.0,2.0,1.0
autocorr_bern20-10,-2936.0,-2936.0,min,-2928.0000000074942,-2928.000022359888,0.6009919038042426,0.2043434511870145,0.1848643226549029,0.0194791285321116,2.0,2.0,0.0,2.0,0.0,-2928.0000000074942,-2928.0000223598877,0.6028613317757845,0.2069929782301187,0.1894994918256998,0.0174934864044189,2.0,2.0,0.0,2.0,0.0,-2928.0000000074942,-2928.000022359888,0.5449369326233864,0.1498025618493557,0.133996301330626,0.0158062605187296,2.0,2.0,0.0,2.0,0.0,-2928.0000000074942,-2928.000022359888,0.5661976346746087,0.1491359332576394,0.132429682649672,0.0167062506079673,2.0,2.0,0.0,2.0,0.0,-2928.0000000074942,-2928.000022359888,0.5764176938682795,0.155433889478445,0.1390480659902095,0.0163858234882354,2.0,2.0,0.0,2.0,0.0
autocorr_bern20-15,-5960.0,-5960.0,min,-5820.000000007494,-5820.000000007494,1.2521045850589871,0.4276982629671693,0.3996183071285486,0.0280799558386206,2.0,2.0,0.0,2.0,1.0,-5820.000000007494,-5820.000000007494,1.2770332377403975,0.4384409999474883,0.4094865219667554,0.0289544779807329,2.0,2.0,0.0,2.0,1.0,-5820.000000007494,-5820.000000007494,1.1575327953323722,0.3060277458280325,0.2816220624372363,0.0244056833907961,2.0,2.0,0.0,2.0,1.0,-5820.000000007494,-5820.000000007494,1.1952611049637198,0.3595029851421714,0.3338699964806437,0.0256329886615276,2.0,2.0,0.0,2.0,1.0,-5820.000000007494,-5820.000000007494,1.230013589374721,0.3854887364432215,0.3590882495045662,0.0264004869386553,2.0,2.0,0.0,2.0,1.0
autocorr_bern25-06,-960.0,-960.0,min,-944.000000007494,-944.000000007494,0.3251309879124164,0.0778219373896718,0.057829774916172,0.0199921624734997,2.0,2.0,0.0,2.0,1.0,-944.000000007494,-944.0000000074941,0.33272772934287786,0.0779213849455118,0.0598320756107568,0.0180893093347549,2.0,2.0,0.0,2.0,1.0,-944.000000007494,-944.000000007494,0.2954796152189374,0.06218265555799,0.0466946410015225,0.0154880145564675,2.0,2.0,0.0,2.0,1.0,-944.000000007494,-944.000000007494,0.2990794293582439,0.0637675542384386,0.0473156804218888,0.0164518738165497,2.0,2.0,0.0,2.0,1.0,-944.000000007494,-944.000000007494,0.3079193476587534,0.0650379639118909,0.0484017515555024,0.0166362123563885,2.0,2.0,0.0,2.0,1.0
autocorr_bern25-13,-8148.0,-8148.000008,min,-7992.000000007494,-7992.000000007494,1.538373189046979,0.3626094255596399,0.3317984202876687,0.0308110052719712,2.0,2.0,0.0,2.0,1.0,-7992.000000007494,-7992.000000007494,1.5594788556918502,0.3647350277751684,0.3319171005859971,0.0328179271891713,2.0,2.0,0.0,2.0,1.0,-7992.000000007494,-7992.000000007494,1.4200385436415672,0.2856781501322984,0.2586122388020158,0.0270659113302826,2.0,2.0,0.0,2.0,1.0,-7992.000000007494,-7992.000000007494,1.4670921908691523,0.2896880619227886,0.2617019545286894,0.0279861073940992,2.0,2.0,0.0,2.0,1.0,-7992.000000007494,-7992.000000007494,1.499098646454513,0.3085172930732369,0.2792294435203075,0.0292878495529294,2.0,2.0,0.0,2.0,1.0
autocorr_bern25-19,-14644.0,-14644.0,min,-14476.000000007494,-14476.000054584743,3.089404103346169,0.8803525296971202,0.8441714579239488,0.0361810717731714,2.0,2.0,0.0,2.0,0.0,-14476.000000007494,-14476.000054584745,3.10049507021904,0.8966504652053118,0.8608101159334183,0.0358403492718935,2.0,2.0,0.0,2.0,0.0,-14476.000000007494,-14476.000054584743,2.869397292844951,0.795743023045361,0.7626273818314075,0.0331156412139534,2.0,2.0,0.0,2.0,0.0,-14476.000000007494,-14476.000054584743,2.903881411999464,0.8243979113176465,0.7913854597136378,0.0330124516040086,2.0,2.0,0.0,2.0,0.0,-14476.000000007494,-14476.000054584743,2.9865990914404392,0.8769722897559404,0.839019201695919,0.0379530880600214,2.0,2.0,0.0,2.0,0.0
autocorr_bern25-25,-10664.0,-10664.0,min,-10544.000000007494,-10544.000000007494,4.096417929977179,1.000805457122624,0.9500092649832368,0.0507961921393871,2.0,2.0,0.0,2.0,1.0,-10544.000000007494,-10544.000000007494,4.097250466234982,0.9820768497884274,0.9291378315538168,0.0529390182346105,2.0,2.0,0.0,2.0,1.0,-10544.000000007494,-10544.000000007494,3.854122014716268,0.8908214941620827,0.8458251068368554,0.0449963873252272,2.0,2.0,0.0,2.0,1.0,-10544.000000007494,-10544.000000007494,3.9276432441547513,0.9337569568306208,0.88672068528831,0.0470362715423107,2.0,2.0,0.0,2.0,1.0,-10544.000000007494,-10544.000000007494,3.992502667941153,0.9410715643316508,0.8907620217651129,0.0503095425665378,2.0,2.0,0.0,2.0,1.0
autocorr_bern30-04,-324.0,-324.0,min,-320.0000000074941,-320.0000080923262,0.4097014972940087,0.0491539863869547,0.0297461496666073,0.0194078367203474,2.0,2.0,0.0,2.0,0.0,-320.0000000074941,-320.0000080923262,0.4245786666870117,0.0515699172392487,0.0307015618309378,0.0208683554083108,2.0,2.0,0.0,2.0,0.0,-320.0000000074941,-320.0000080923262,0.3518037563189864,0.0407048538327217,0.0291024670004844,0.0116023868322372,2.0,2.0,0.0,2.0,0.0,-320.0000000074941,-320.0000080923262,0.3690973063930869,0.0422151396051049,0.029796072281897,0.0124190673232078,2.0,2.0,0.0,2.0,0.0,-320.0000000074941,-320.0000080923262,0.3794566541910171,0.0421010432764887,0.0296068731695413,0.0124941701069474,2.0,2.0,0.0,2.0,0.0
autocorr_bern30-08,-2952.0,-2952.000003,min,-2904.0000000074942,-2904.0000000074942,0.6555562140420079,0.204601471312344,0.1821983559057116,0.0224031154066324,2.0,2.0,0.0,2.0,1.0,-2904.0000000074942,-2904.0000000074942,0.7084670960903168,0.2038882244378328,0.1820765379816293,0.0218116864562034,2.0,2.0,0.0,2.0,1.0,-2904.0000000074942,-2904.0000000074942,0.6055106185376644,0.1444270107895136,0.1242348803207278,0.0201921304687857,2.0,2.0,0.0,2.0,1.0,-2904.0000000074942,-2904.0000000074942,0.6102367099374533,0.1441156603395939,0.1234395178034901,0.0206761425361037,2.0,2.0,0.0,2.0,1.0,-2904.0000000074942,-2904.0000000074942,0.631483250297606,0.1597363231703639,0.1390884211286902,0.0206479020416736,2.0,2.0,0.0,2.0,1.0
