name,primalbound,cvx_sbmiqp.obj,cvx_sbmiqp.dual_obj,cvx_sbmiqp.load_time,cvx_sbmiqp.calc_time,cvx_sbmiqp.solver_time,cvx_sbmiqp.python_time,cvx_sbmiqp.iter_nr,cvx_sbmiqp.NLP_runs,cvx_sbmiqp.FNLP_runs,cvx_sbmiqp.MIQP_runs,cvx_sbmiqp.MILP_runs,cvx_sbmiqp_new.obj,cvx_sbmiqp_new.dual_obj,cvx_sbmiqp_new.load_time,cvx_sbmiqp_new.calc_time,cvx_sbmiqp_new.solver_time,cvx_sbmiqp_new.python_time,cvx_sbmiqp_new.iter_nr,cvx_sbmiqp_new.NLP_runs,cvx_sbmiqp_new.FNLP_runs,cvx_sbmiqp_new.MIQP_runs,cvx_sbmiqp_new.MILP_runs,cvx_sbmiqp_ee.obj,cvx_sbmiqp_ee.dual_obj,cvx_sbmiqp_ee.load_time,cvx_sbmiqp_ee.calc_time,cvx_sbmiqp_ee.solver_time,cvx_sbmiqp_ee.python_time,cvx_sbmiqp_ee.iter_nr,cvx_sbmiqp_ee.NLP_runs,cvx_sbmiqp_ee.FNLP_runs,cvx_sbmiqp_ee.MIQP_runs,cvx_sbmiqp_ee.MILP_runs,cvx_sbmiqp_ee_new.obj,cvx_sbmiqp_ee_new.dual_obj,cvx_sbmiqp_ee_new.load_time,cvx_sbmiqp_ee_new.calc_time,cvx_sbmiqp_ee_new.solver_time,cvx_sbmiqp_ee_new.python_time,cvx_sbmiqp_ee_new.iter_nr,cvx_sbmiqp_ee_new.NLP_runs,cvx_sbmiqp_ee_new.FNLP_runs,cvx_sbmiqp_ee_new.MIQP_runs,cvx_sbmiqp_ee_new.MILP_runs
batch,285506.5082,285506.50498104404,285506.50498104404,7.189810276031494e-07,0.4699595030397177,0.302721691,0.5193232404999435,4,5,0,4,1,300804.8921397765,300804.8921397765,1.1636875569820404e-06,0.11228758189827204,0.06710194004699588,0.04518564185127616,4,4,0,4,2,323742.1273360562,335985.8715431979,8.00006091594696e-07,0.21562274591997266,0.22443500000000002,0.26867160433903337,3,4,0,3,0,309205.3192681313,309205.3192681313,6.458722054958344e-07,0.10786059405654669,0.06828686548396945,0.03957372857257724,4,6,0,4,0
batch0812,2687026.784,2836593.013029522,2836593.013029522,0.18140439596027136,1.7679459396749735,0.465489201,1.4521023659035563,4,6,1,4,2,3109204.8076459332,3109204.8076459332,0.11571487179026008,0.3090988099575043,0.16187109192833304,0.14722771802917123,2,3,1,2,1,2836593.013029522,2863756.982863471,0.17999801877886057,0.41650615679100156,0.449071698,0.5358339697122574,3,4,1,3,0,3109204.8076459332,3109204.8076459332,0.11852244893088937,0.2396503109484911,0.13966835848987103,0.09998195245862007,2,3,1,2,0
batchdes,167427.6571,178545.1945508755,178545.1945508755,0.019710963126271963,0.04856261005625129,0.041248,0.041545506566762924,2,2,0,2,1,167427.65337972456,167427.65337972456,0.026194076985120773,0.024407212156802416,0.012440978549420834,0.011966233607381582,2,2,0,2,1,178545.1945508755,178545.1945508755,0.018846325110644102,0.03717364417389035,0.029405,0.04177785664796829,2,2,0,2,0,167427.65337972456,167427.65337972456,0.0495333899743855,0.038022817112505436,0.02007198240607977,0.017950834706425667,3,3,0,3,0
clay0203hfsg,41573.26252,41737.46030954705,41324.4706626026,0.10409788461402059,2.8831754345446825,1.3990658609999993,4.661657698918134,6,18,12,6,2,41709.76921898047,41355.07807397629,0.19431509589776397,2.9114203862845898,1.995698791462928,0.9157215948216617,7,29,14,6,4,41907.460309547285,41907.460309547285,0.10254668490961194,1.4135364079847932,1.1576011769999996,2.6920677572488785,5,14,11,5,0,42098.8448576447,42098.8448576447,0.18930838722735643,1.5933377989567816,1.2213839022442698,0.3719538967125118,4,16,11,4,0
clay0204hfsg,6545.0,6544.999962872769,6544.952545000583,0.2706393823027611,2.712933570612222,2.528911345999995,3.181094768922776,3,10,5,3,1,6544.999962872769,6544.964919359913,0.23992464179173112,2.1472662850283086,1.9497371315956116,0.19752915343269706,3,11,3,2,1,6544.999962872769,6544.999962762632,0.26802515424788,2.277656459249556,2.2167803699999937,3.15271044196561,3,10,5,3,0,6544.999962762632,6544.986165103981,0.2456322298385203,1.573865200392902,1.4100102209486067,0.16385497944429517,2,6,3,2,0
clay0205hfsg,8092.5,8092.499956870159,8084.932002042369,0.653822879306972,4.9299842971377075,5.628079221,2.4550519823096693,2,5,0,2,1,8092.4999566980405,8084.956082717378,0.44479562900960445,6.947576706297696,6.104562533088028,0.8430141732096672,2,6,0,2,1,8092.499956870159,8092.499956870352,0.6455421010032296,2.64894749969244,3.416044774,2.451124823652208,2,5,0,2,0,8092.4999566980405,8092.4999566980405,0.4529141276143491,3.9078770778141916,3.15337343653664,0.7545036412775517,2,6,0,2,0
clay0303hfsg,26669.10957,26669.109551317826,26669.105709558935,0.13043805118650198,5.903026186861098,1.7335983119999996,14.083608514629304,8,27,20,8,2,26669.10955098333,26669.09512332754,0.19102124776691198,3.8109337552450597,2.896763836964965,0.9141699182800949,7,28,16,5,4,41709.76921886916,41709.76921886916,0.12778775207698345,1.942643434740603,1.2991818300000002,3.7804963192902505,5,18,16,5,0,28351.419449595523,829073019.9405603,0.18886080896481872,2.0720864362083375,1.765910925809294,0.30617551039904356,4,16,12,4,0
clay0304hfsg,40262.38753,40262.38749701286,39909.90074489518,0.32645201310515404,19.285216215997934,4.04320541,38.60596935497597,10,35,27,9,4,40262.38749393643,40262.20457440197,0.32588340109214187,14.107812095433474,11.20637903129682,2.901433064136654,11,49,32,7,5,40262.38749701294,40262.38749701294,0.3184790019877255,4.324257295113057,2.569740577000001,10.889141269493848,6,22,20,6,0,40262.38749393643,40262.38749393643,0.33394589088857174,9.159711321815848,7.8617872088216245,1.2979241129942238,7,31,26,7,0
clay0305hfsg,8092.5,8092.499956870221,8084.9311040508965,0.7482464234344661,5.39808409428224,6.02828988,3.0000593084841967,2,5,0,2,1,8092.4999566980505,8084.903092878134,0.5613280399702489,12.477805079892278,11.255027269944549,1.222777809947729,2,6,0,2,1,8092.499956870221,8092.499956870221,0.753346404992044,3.168704017996788,3.902577462000001,3.002778648864478,2,5,0,2,0,8092.4999566980505,8092.499956698056,0.5828543631359935,3.78509820997715,3.227375190705061,0.557723019272089,2,6,0,2,0
cvxnonsep_normcon20,-21.74914736,-21.7491473846331,-21.82222547389317,0.02014411985874176,0.02966607641428709,0.026441,0.03699237387627363,2,2,0,2,0,-21.7491473846331,-21.82222547389317,0.04624225199222565,0.02399918995797634,0.010557565372437239,0.013441624585539103,2,2,0,2,1,-21.7491473846331,-21.82222547389317,0.020260858815163374,0.02940978202968836,0.026913,0.037162101827561855,2,2,0,2,0,-21.7491473846331,-21.206736409237497,0.05930530419573188,0.020623264368623495,0.009261101018637419,0.011362163349986076,2,2,0,2,0
