id,path,obj,dual_obj,load_time,calc_time,iter_nr,NLP_runs,FNLP_runs,MIQP_runs,MILP_runs
0,batch.nl,285506.50498104404,286459.2951516146,6.42961822450161e-07,0.07486360298935324,2,5,0,2,0
1,batch0812.nl,2998471.357097623,2998471.357097623,0.10951659397687763,0.15589837299194187,2,3,1,2,0
2,batchdes.nl,167427.65337972456,167427.65337972456,0.02479142404627055,0.022916891030035913,2,2,0,2,0
3,clay0203hfsg.nl,55423.052804170744,750730522.2421725,0.11872682196553797,0.6948241230566055,3,7,5,3,0
4,clay0204hfsg.nl,6544.999962762632,6544.999962762632,0.2247275080299005,4.72234835207928,2,6,3,2,0
5,clay0205hfsg.nl,8092.499956870298,8084.9595975739385,0.4164986138930544,61.20650552108418,2,6,1,2,0
6,clay0303hfsg.nl,26669.10955098333,2614782425.4252706,0.1754301149630919,2.4722740409197286,5,20,18,5,0
7,clay0304hfsg.nl,62419.222849262864,62419.222849262864,0.30062283005099744,6.319607508950867,6,26,24,6,0
8,clay0305hfsg.nl,8278.470519327599,8278.470519327599,0.5399069449631497,64.23651344294194,2,6,0,2,0
9,cvxnonsep_normcon20.nl,-21.7491473846331,-21.669409092067102,0.04418464901391417,0.017175466986373067,2,2,0,2,0
10,cvxnonsep_normcon30.nl,-34.22751206702149,-32.7669404636857,0.03224218892864883,0.02031271392479539,2,2,0,2,0
11,cvxnonsep_normcon40.nl,-32.6296697474825,-31.16321875870223,0.05203045008238405,0.02587267104536295,2,2,0,2,0
12,cvxnonsep_nsig20.nl,80.94929465741761,80.95523279747957,0.029304311028681695,0.017664350918494165,2,2,0,2,0
13,cvxnonsep_nsig20r.nl,92.54757175177032,97.27747523667497,0.01944052299950272,0.023477651993744075,2,2,0,2,0
14,cvxnonsep_nsig30.nl,130.65033700034454,130.64601883099738,0.044934610021300614,0.024515183991752565,2,2,0,2,0
15,cvxnonsep_nsig30r.nl,160.91797524260537,166.44320793431703,0.029843405005522072,0.08655941998586059,3,5,1,3,0
16,cvxnonsep_nsig40.nl,133.96132894832803,134.18791320377318,0.0770411629928276,0.03067843208555132,2,2,0,2,0
17,cvxnonsep_nsig40r.nl,134.61160703345774,135.62324084958578,0.04385992290917784,0.25759061705321074,4,10,1,4,0
18,cvxnonsep_pcon20.nl,-21.469437905707228,-21.434820032615363,0.02502758102491498,0.01982306595891714,2,2,0,2,0
