id,path,obj,dual_obj,load_time,calc_time,iter_nr,NLP_runs,FNLP_runs,MIQP_runs,MILP_runs
0,4stufen.nl,-inf,FAILED,"Error in Function::call for 'benders_constraint_0' [MXFunction] at .../casadi/core/function.cpp:1432:
Error in Function::call for 'benders_constraint_0' [MXFunction] at .../casadi/core/function.cpp:361:
Error in Function::operator() for 'benders_constraint_0_qpsol' [GurobiInterface] at .../casadi/core/function.cpp:1513:
.../casadi/core/conic.cpp:497: Assertion ""lb <= ub && lb!=inf && ub!=-inf"" failed:
Ill-posed problem detected: LBA[1] <= UBA[1] was violated. Got LBA[1] = nan and UBA[1] = nan."
1,autocorr_bern20-05.nl,-384.0000000074941,-384.0000050873999,0.8011260189814493,0.02611943008378148,2,2,0,2,0
2,autocorr_bern20-10.nl,-2928.0000000074942,-2928.0000000074942,0.4826292619109154,0.12439822510350496,2,2,0,2,1
3,autocorr_bern20-15.nl,-5820.000000007494,-5820.000000007494,1.0281059219269082,0.2988188739400357,2,2,0,2,1
4,autocorr_bern25-06.nl,-944.0000000074941,-944.0000140323708,0.26889707800000906,0.054086282034404576,2,2,0,2,0
5,autocorr_bern25-13.nl,-7992.000000007494,-7992.000040584548,1.252017530030571,0.25616117496974766,2,2,0,2,0
6,autocorr_bern25-19.nl,-14476.000000007494,-14476.000054584745,2.5525045880349353,0.7737732209498063,2,2,0,2,0
7,autocorr_bern25-25.nl,-10544.000000007494,-10544.000000007494,3.4250146390404552,0.8593038019025698,2,2,0,2,1
8,autocorr_bern30-04.nl,-320.0000000074941,-320.0000080923262,0.3185873019974679,0.034163561067543924,2,2,0,2,0
9,autocorr_bern30-08.nl,-2904.0000000074942,-2904.0000236123174,0.5322585719404742,0.13554000901058316,2,2,0,2,0
10,autocorr_bern30-15.nl,-15424.000000007494,-15424.000000007494,2.3990262070437893,0.7010347379837185,2,2,0,2,1
11,autocorr_bern30-23.nl,-30272.000000007494,-30272.000000007494,5.236090164980851,1.5754391340306029,2,2,0,2,1
12,autocorr_bern30-30.nl,-22512.000000007494,-22512.000133532823,6.955726290005259,1.6835997441085055,2,2,0,2,0
13,autocorr_bern35-04.nl,-368.0000000074941,-368.0000082990913,0.5718866569222882,0.034188893041573465,2,2,0,2,0
14,autocorr_bern35-09.nl,-5080.000000007494,-5080.000040562266,0.8756510709645227,0.2769427848979831,2,2,0,2,0
15,autocorr_bern35-18.nl,-30936.000000007494,-30936.000000007494,4.695424738107249,2.1320584639906883,2,2,0,2,1
16,autocorr_bern35-26.nl,-55072.000000007494,-55072.000000007494,9.12881589808967,2.2844123139511794,2,2,0,2,1
17,autocorr_bern35-35fix.nl,-40512.000000007494,-40512.00023919946,12.531523611047305,3.3136902960250154,2,2,0,2,0
18,autocorr_bern40-05.nl,-896.0000000074941,-896.0000153363643,1.0055720830569044,0.048619995010085404,2,2,0,2,0
19,autocorr_bern40-10.nl,-8144.000000007494,-8144.000000007494,1.4496331750415266,0.24208534695208073,2,2,0,2,1
20,autocorr_bern40-20.nl,-50240.000000007494,-50240.00018630719,7.533522329060361,2.0544269860256463,2,2,0,2,0
21,autocorr_bern40-30.nl,-94520.0000000075,-94520.0000000075,15.474246061057784,3.505625366931781,2,2,0,2,1
22,autocorr_bern40-40.nl,-67392.0000000075,-67392.0000000075,20.87301884300541,4.144919816055335,2,2,0,2,1
23,autocorr_bern45-05.nl,-1024.000000007494,-1024.0000191722534,1.5345474209170789,0.05060773505829275,2,2,0,2,0
24,autocorr_bern45-11.nl,-12520.000000007494,-12520.000000007494,2.169356697006151,0.5689472550293431,2,2,0,2,1
25,autocorr_bern45-23.nl,-84712.0000000075,-84712.0000000075,12.428933426970616,3.268045192002319,2,2,0,2,1
26,autocorr_bern45-34.nl,-152304.00000000748,-152304.00040051757,24.501556669012643,5.634085220983252,2,2,0,2,0
27,autocorr_bern45-45.nl,-112004.0000000075,-112004.00063365376,32.62637173500843,5.976228488958441,2,2,0,2,0
28,autocorr_bern50-06.nl,-2064.0000000074942,-2064.000024127285,2.4147365710232407,0.08410586789250374,2,2,0,2,0
29,autocorr_bern50-13.nl,-23564.000000007494,-23564.000000007494,3.975125421071425,1.2905550819123164,2,2,0,2,1
30,autocorr_bern50-25.nl,-124268.0000000075,-124268.0000000075,18.01022975204978,3.65440028894227,2,2,0,2,1
31,autocorr_bern55-06.nl,-2304.0000000074942,-2304.0000000074942,1.6841007840121165,0.12974439305253327,2,2,0,2,1
32,autocorr_bern55-14.nl,-32792.000000007494,-32792.00016595195,5.562232292955741,1.5377247030846775,2,2,0,2,0
33,autocorr_bern60-08.nl,-6728.000000007494,-6728.000000007494,1.7176764069590718,0.3462112130364403,2,2,0,2,1
34,autocorr_bern60-15.nl,-44448.000000007494,-44448.000000007494,7.508056701975875,2.154306070995517,2,2,0,2,1
35,batch0812_nc.nl,2687026.7795296754,2727674.918596565,0.5992052310612053,0.7642581179970875,5,13,4,4,4
36,batch_nc.nl,285506.5078974896,285506.5078974896,0.039759752922691405,0.4858085319865495,6,17,9,3,5
37,beuster.nl,-inf,FAILED,"Lbg > g(x*,p) + tol:
[1.11199732e+08 4.67432600e+09 7.88660901e+07 7.80955736e+05
 1.50192001e+03 8.19944326e+00 1.61815119e+07 8.06436082e+07
 9.79858530e+08 3.43713924e+03 2.57031976e+01 2.43620402e+02
 2.97487042e-03 7.96689070e-06 5.14614978e-04 2.25263193e-05
 5.84638817e+10 2.71592393e-03 3.44891544e-05 3.81665720e-05
 1.12940590e+08 1.02005305e+03 4.41000011e+01 4.19905654e-04
 1.22906033e+01 1.62272867e-02 3.10161897e+04 3.19847353e+00
 3.22801667e-01 3.85877345e-01 2.15469414e+04 5.46189356e-01
 1.19224864e+00 1.19070204e+00 7.20002170e+01 2.27991672e+02
 1.77991650e+02 2.99502991e+00 5.99447759e+00 8.57195770e+07
 8.76193020e+03 5.91750480e+03 7.50679790e+04 1.43043896e+04
 6.89805458e+04 6.88762315e+04]
for indices:
(array([  0,   1,   2,   3,   4,   5,   6,   7,   8,   9,  11,  14,  15,
        16,  17,  19,  22,  23,  24,  25,  30,  31,  32,  34,  38,  39,
        42,  43,  44,  45,  46,  53,  67,  68,  86,  87,  88,  91,  92,
       101, 102, 103, 104, 105, 106, 110]),)
Ubg < g(x*,p) - tol:
[2.91859154e+02 4.81252919e+01 4.78261248e-01 4.00164087e-05
 5.29075830e+01 2.52811090e-07 1.31431140e-03 7.38415563e-03
 5.96167210e-02 5.95392998e-02 3.93173693e-04 6.00778059e-01
 3.44948549e+06 1.03203343e+02 2.26033567e+00 2.38679255e+00
 4.46949288e-03 2.92634839e+00 1.72446520e+01 9.98063777e+02
 9.07181747e-02 1.64987036e-03 4.86443538e-03 2.37198268e+02
 3.08869933e-01 1.04124365e-03 1.44232968e+04 1.15242694e+00
 1.64422407e-01 1.68999034e-01 1.51983191e+01 1.17316458e+03
 9.31219172e-02 6.79285338e+04 5.42586993e+00 2.86231779e-01
 3.18203540e-01]
for indices:
(array([10, 12, 13, 18, 33, 35, 36, 37, 40, 41, 47, 48, 49, 50, 51, 52, 54,
       55, 56, 61, 62, 63, 64, 65, 66, 69, 77, 78, 79, 80, 85, 89, 90, 93,
       94, 95, 96]),)"
38,casctanks.nl,9.163479254022507,9.163478711076868,0.8141329790232703,0.8957191610243171,3,4,0,3,2
39,contvar.nl,809149.8125599765,809149.8125599765,0.6915609670104459,302.9188611640129,134,598,0,6,133
40,csched1.nl,-29279.1675994476,-29279.1675994476,0.09380216407589614,0.043091921019367874,2,2,0,2,1
41,csched1a.nl,-30279.747114268284,-30279.747114268284,0.03329016303177923,0.028659222996793687,2,2,0,2,1
42,csched2.nl,-164867.95547160838,-166247.12660587113,2.92398011602927,254.536195341032,134,420,0,7,133
43,csched2a.nl,-inf,FAILED,"Error in Function::call for 'benders_constraint_164' [MXFunction] at .../casadi/core/function.cpp:1432:
Error in Function::call for 'benders_constraint_164' [MXFunction] at .../casadi/core/function.cpp:361:
Error in Function::operator() for 'benders_constraint_164_qpsol' [GurobiInterface] at .../casadi/core/function.cpp:1513:
.../casadi/interfaces/gurobi/gurobi_interface.cpp:470: Assertion ""!flag"" failed:
Objective Q not PSD (diagonal adjustment of 1.8e-06 would be required). Set NonConvex parameter to 2 to solve model."
44,eg_int_s.nl,7.887242853518402,7.835178618935342,37.553021127940156,206.34996871103067,21,23,19,3,20
45,eniplac.nl,-inf,FAILED,Problem can not be solved - Feasible zone is empty
46,ex1221.nl,7.667180068813135,7.667180061604739,0.09831886296160519,0.016448791953735054,2,2,0,2,0
47,ex1222.nl,1.076543046303249,1.076543046303249,0.010745509061962366,0.016716007026843727,2,2,0,2,1
48,ex1224.nl,-0.9049614980951736,-0.9049614980951736,0.011150236940011382,0.03379259794019163,3,4,0,2,2
49,ex1225.nl,31.0,31.0,0.011201484012417495,0.017464858014136553,2,2,0,2,1
50,ex1226.nl,-17.000000002485578,-17.000000002485578,0.009941503987647593,0.016355063999071717,2,2,0,2,1
51,ex1233.nl,155010.67125828302,155010.67125828302,0.03693068400025368,0.5627564289607108,4,12,0,3,3
52,ex1243.nl,98519.01147805208,98519.01147805208,0.05334071209654212,0.3522810940630734,2,6,0,2,1
53,ex1244.nl,82042.90520973454,82042.90265080829,0.08153906092047691,1.496958888019435,6,13,2,3,5
54,ex1252.nl,134471.56050035323,134471.56050035323,0.04376072494778782,0.5442867500241846,8,23,13,4,7
55,ex1252a.nl,134471.5605003532,134471.5605003532,0.026991612976416945,0.21397524303756654,7,14,5,4,6
56,ex3pb.nl,68.00974395350963,68.00974395350963,0.021025658934377134,0.39370482391677797,10,27,0,4,9
57,feedtray.nl,-13.406005537297986,-13.406005549279207,0.2148151840083301,0.17944499105215073,2,2,0,2,0
58,gasnet.nl,-inf,FAILED,Problem can not be solved - Feasible zone is empty
59,gastrans.nl,89.08583979013146,89.08583978999103,0.21906104404479265,0.19237797299865633,2,2,0,2,0
60,gastrans040.nl,-inf,FAILED,No objective!
61,gear2.nl,2.727279702363975e-05,5.21215564152541e-15,0.037270659930072725,0.04402691498398781,2,6,0,2,1
62,gear3.nl,2.72645059771712e-08,2.72645059771712e-08,0.009892871021293104,0.024179913103580475,2,4,0,2,1
63,gear4.nl,120.67522722248653,120.67522722248653,0.008988708956167102,0.025216809008270502,2,3,0,2,1
64,ghg_1veh.nl,7.7816347774115995,7.781634778727874,0.07109365495853126,0.04245741700287908,2,2,0,2,0
65,ghg_2veh.nl,7.770904507805553,7.770904502956747,0.16564002307131886,0.16824715305119753,2,2,0,2,1
66,ghg_3veh.nl,7.781124788229996,7.781124788229996,0.3618850209750235,1.01120795996394,2,2,0,2,1
67,gkocis.nl,-1.9230988288847426,-1.9230988288847426,0.04176670010201633,0.06273963605053723,5,8,0,3,4
68,heatexch_gen1.nl,595268.5021631129,139038.65274924872,0.08108400192577392,300.5673388920259,250,502,254,2,249
