name,primalbound,dualbound,objsense,cvx_new.obj,cvx_new.dual_obj,cvx_new.load_time,cvx_new.calc_time,cvx_new.solver_time,cvx_new.python_time,cvx_new.iter_nr,cvx_new.NLP_runs,cvx_new.FNLP_runs,cvx_new.MIQP_runs,cvx_new.MILP_runs,cvx_old.obj,cvx_old.dual_obj,cvx_old.load_time,cvx_old.calc_time,cvx_old.iter_nr,cvx_old.NLP_runs,cvx_old.FNLP_runs,cvx_old.MIQP_runs,cvx_old.MILP_runs
batch,285506.5082,285506.5082,min,300804.8921397765,300804.8921397765,1.4295801520347595e-06,0.1142531866207718,0.0700568100437522,0.0441963765770196,4.0,4.0,0.0,4.0,2.0,285506.50498104404,285506.50498104404,7.366761565208435e-07,0.1332791717723012,4.0,6.0,0.0,4.0,2.0
batch0812,2687026.784,2687026.784,min,3109204.807645933,3109204.8076459332,0.13235919270664454,0.2954442864283919,0.1690919073298573,0.1263523790985345,2.0,3.0,1.0,2.0,1.0,2961407.4273775765,2961407.4273775765,0.12413030304014683,0.300871292129159,3.0,5.0,1.0,3.0,2.0
batchdes,167427.6571,167427.6571,min,167427.65337972456,167427.65337972456,0.02671113982796669,0.0272781457751989,0.0133071513846516,0.0139709943905472,2.0,2.0,0.0,2.0,1.0,167427.65337972456,167427.65337972456,0.026136440224945545,0.0220108060166239,2.0,2.0,0.0,2.0,1.0
batchs101006m,769440.4204,769440.42,min,769440.4053867864,766094.8206183895,1.2026015594601631,6.308887865394354,4.90405538212508,1.4048324832692742,6.0,19.0,3.0,2.0,5.0,769440.4053867864,763569.4965823793,1.1316216746345162,5.818948395550251,6.0,16.0,2.0,4.0,4.0
batchs121208m,1241125.514,1241125.513,min,1245833.9222658663,1237898.3823897266,2.8742121625691652,11.814390099607408,7.868763125501573,3.945626974105835,4.0,14.0,1.0,3.0,2.0,1243940.7750682335,1236947.208024591,2.6214720038697124,4.626152442768216,4.0,7.0,3.0,3.0,2.0
batchs151208m,1543472.398,1543472.398,min,1549099.6858157674,1541452.3563751183,3.4694109987467527,13.52512903790921,8.736264548264444,4.788864489644766,3.0,9.0,0.0,3.0,2.0,1544418.9802138011,1534618.1690266228,3.1588063845410943,24.44062544219196,7.0,11.0,2.0,6.0,2.0
batchs201210m,2295348.849,2295348.849,min,2302946.5654196115,2288361.9841444464,5.985284635797143,18.67566037643701,11.95167675241828,6.723983624018729,3.0,9.0,0.0,3.0,1.0,2304875.125525628,2292577.302790185,5.430755080655217,28.40596091840416,9.0,13.0,4.0,8.0,1.0
clay0203hfsg,41573.26252,41573.26248,min,41709.76921898047,41355.07807397629,0.2119248602539301,3.3071926003322005,2.2696753861382604,1.0375172141939402,7.0,29.0,14.0,6.0,4.0,41573.26250379671,41377.0103340825,0.19970031548291445,2.237655680626631,7.0,18.0,11.0,7.0,2.0
clay0204hfsg,6545.0,6545.0,min,6544.999962872769,6544.964919359913,0.27671683207154274,2.3651207676157355,2.163564489223063,0.2015562783926725,3.0,11.0,3.0,2.0,1.0,6604.9999634501255,6544.972429964001,0.27223280165344477,7.714753654785454,3.0,9.0,6.0,3.0,1.0
clay0205hfsg,8092.5,8092.5,min,8092.49995669804,8084.956082717378,0.5128026260063052,7.471723326481879,6.621618899516761,0.8501044269651175,2.0,6.0,0.0,2.0,1.0,8092.499956870298,8084.9704251689,0.4965681741014123,82.30588478501886,2.0,6.0,0.0,2.0,1.0
clay0303hfsg,26669.10957,26669.10957,min,26669.10955098333,26669.09512332754,0.21950811240822077,4.21000262349844,3.166124338284135,1.043878285214305,7.0,28.0,16.0,5.0,4.0,26669.109551320384,26669.097345246315,0.2122179390862584,5.26668543368578,9.0,32.0,23.0,7.0,5.0
clay0304hfsg,40262.38753,40262.38753,min,40262.38749393643,40262.20457440197,0.3736004438251257,15.264293614774942,12.230316780507565,3.033976834267378,11.0,49.0,32.0,7.0,5.0,40262.38749393643,40232.5772831439,0.3585954373702407,16.127226713113487,12.0,44.0,34.0,10.0,4.0
clay0305hfsg,8092.5,8092.5,min,8092.49995669805,8084.903092878134,0.6427905447781086,13.333760764449837,12.288874729536474,1.044886034913361,2.0,6.0,0.0,2.0,1.0,8092.499956698056,8092.480513790727,0.6330816075205803,146.6779975751415,5.0,15.0,3.0,3.0,3.0
cvxnonsep_normcon20,-21.74914736,-21.74914739,min,-21.7491473846331,-21.82222547389317,0.05508924834430218,0.0275816079229116,0.0119039928540587,0.0156776150688529,2.0,2.0,0.0,2.0,1.0,-21.7491473846331,-21.82222547389317,0.05653480160981417,0.0228318609297275,2.0,2.0,0.0,2.0,1.0
cvxnonsep_normcon30,-34.24396574,-34.24396578,min,-34.22751206702149,-34.428749859066556,0.040997471660375595,0.031729114241898,0.0137613536790013,0.0179677605628967,2.0,2.0,0.0,2.0,1.0,-34.22751206702149,-34.428749859066556,0.03681046701967716,0.0267077423632144,2.0,2.0,0.0,2.0,1.0
cvxnonsep_normcon40,-32.62966972,-32.62966975,min,-32.6296697474825,-32.88554272835089,0.0638530058786273,0.0377195114269852,0.0169376637786626,0.0207818476483225,2.0,2.0,0.0,2.0,1.0,-32.6296697474825,-32.88554272835089,0.058925068005919456,0.0331469634547829,2.0,2.0,0.0,2.0,1.0
cvxnonsep_nsig20,80.94929546,80.94929538,min,80.94929465741761,80.81583433225809,0.03570092003792524,0.0276839239522814,0.0120985237881541,0.0155854001641273,2.0,2.0,0.0,2.0,1.0,80.94929465741761,80.81583433225809,0.032830736599862576,0.0233742650598287,2.0,2.0,0.0,2.0,1.0
cvxnonsep_nsig20r,80.94929546,80.94929529,min,80.94927862502492,80.81581789826072,0.024419130757451057,0.0350053943693637,0.0120907612144947,0.022914633154869,2.0,2.0,0.0,2.0,1.0,81.45961342596009,80.81581789826072,0.022015531547367573,0.27613406162709,6.0,15.0,3.0,3.0,4.0
cvxnonsep_nsig30,130.6287126,130.6287125,min,130.65033700034454,130.47997176012422,0.05697248876094818,0.034577795304358,0.0165572483092546,0.0180205469951033,2.0,2.0,0.0,2.0,1.0,130.65033700034454,130.47997176012422,0.05852560605853796,0.0265133408829569,2.0,2.0,0.0,2.0,0.0
cvxnonsep_nsig30r,156.4266874,156.4266723,min,156.4266167111624,156.2343211644331,0.03688066080212593,0.0389230763539671,0.0125841051340103,0.0263389712199568,2.0,2.0,0.0,2.0,1.0,157.24837347429536,156.2343211644331,0.03393017128109932,0.2070402130484581,5.0,8.0,1.0,5.0,0.0
cvxnonsep_nsig40,133.9613305,133.9613303,min,133.96132894832803,133.74494901551313,0.09023159649223089,0.0417932057753205,0.0197375193238258,0.0220556864514946,2.0,2.0,0.0,2.0,1.0,133.96132894832803,133.74494901551313,0.09059813152998686,0.0377169316634535,2.0,2.0,0.0,2.0,1.0
cvxnonsep_nsig40r,133.9613305,133.9613303,min,133.96126813632867,133.74488859965595,0.053750510327517986,0.2142990585416555,0.0300902696326375,0.184208788909018,2.0,2.0,0.0,2.0,1.0,134.61810987789153,133.74488859965595,0.0562025411054492,0.2429568041115999,4.0,9.0,1.0,4.0,0.0
cvxnonsep_pcon20,-21.5123012,-21.5123012,min,-21.469437905707228,-21.629610239291953,0.0371028296649456,0.030464275740087,0.0146116437390446,0.0158526320010423,2.0,2.0,0.0,2.0,1.0,-21.469437905707228,-21.629610239291953,0.03721288125962019,0.0213856995105743,2.0,2.0,0.0,2.0,0.0
cvxnonsep_pcon20r,-21.5123012,-21.5123012,min,-21.46943786371748,-21.62961019921222,0.027633361518383026,0.0261092195287346,0.0101538142189383,0.0159554053097963,2.0,2.0,0.0,2.0,0.0,-21.46943786371748,-21.62961019921222,0.02519119158387184,0.0229503056034445,2.0,2.0,0.0,2.0,0.0
cvxnonsep_pcon30,-35.9868423,-35.9868423,min,-35.947546900386875,-36.15628296632238,0.04647832363843918,0.0377734536305069,0.0178883895277977,0.0198850641027092,2.0,2.0,0.0,2.0,1.0,-35.947546900386875,-36.15628296632238,0.04404775332659483,0.0270108068361878,2.0,2.0,0.0,2.0,0.0
cvxnonsep_pcon30r,-35.9868423,-35.98684234,min,-35.94754683755864,-36.15628290478362,0.04176084604114294,0.031592427752912,0.011511031538248,0.0200813962146639,2.0,2.0,0.0,2.0,0.0,-35.94754683755864,-36.15628290478362,0.03810039348900318,0.0279076313599944,2.0,2.0,0.0,2.0,0.0
cvxnonsep_pcon40,-46.59916882,-46.59916883,min,-46.57800468535515,-46.78238836479686,0.0750265596434474,0.0443960921838879,0.0224449569359421,0.0219511352479457,2.0,2.0,0.0,2.0,1.0,-46.57800468535515,-46.78238836479686,0.06983189471065998,0.0383296003565192,2.0,2.0,0.0,2.0,1.0
cvxnonsep_pcon40r,-46.59916883,-46.59916887,min,-46.57800460368898,-46.78238828198824,0.05905756074935198,0.1462424090132117,0.0246358187869191,0.1216065902262926,2.0,2.0,0.0,2.0,1.0,-46.57800460368898,-46.78238828198824,0.06189190782606602,0.0653287395834922,2.0,2.0,0.0,2.0,1.0
cvxnonsep_psig20,93.81138788,93.81138757,min,93.81138766483134,93.73708927503992,0.0279430216178298,0.0254425220191478,0.0110398745164275,0.0144026475027203,2.0,2.0,0.0,2.0,1.0,93.81138766483134,93.73708927503992,0.03507922403514385,0.0224661771208047,2.0,2.0,0.0,2.0,1.0
cvxnonsep_psig20r,95.89738736,95.89738726,min,95.89739532923832,95.80647949893087,0.023653718642890453,0.0356274656951427,0.0127165121957659,0.0229109534993767,2.0,2.0,0.0,2.0,1.0,95.92731216811916,95.80647949893087,0.023684094659984112,0.0341900624334812,2.0,3.0,0.0,2.0,0.0
cvxnonsep_psig30,78.99885434,78.99885426,min,79.00237822815792,78.74479813452173,0.031282453797757626,0.0311307432129979,0.0149594526737928,0.016171290539205,2.0,2.0,0.0,2.0,1.0,79.00237822815792,78.74479813452173,0.030997042544186115,0.0281804222613573,2.0,2.0,0.0,2.0,1.0
cvxnonsep_psig30r,78.99885434,78.99885426,min,79.00240266582215,78.74482563402228,0.034226072020828724,0.0423788605257868,0.0149932773783802,0.0273855831474065,2.0,2.0,0.0,2.0,1.0,79.00240266582215,78.74482563402228,0.03195749782025814,0.0293411733582615,2.0,2.0,0.0,2.0,0.0
cvxnonsep_psig40,85.49576764,85.49576755,min,85.49914724357482,85.20136272924489,0.04998259525746107,0.0370814064517617,0.0172135336324572,0.0198678728193044,2.0,2.0,0.0,2.0,1.0,85.49914724357482,85.20136272924489,0.04688664339482784,0.0331850461661815,2.0,2.0,0.0,2.0,1.0
cvxnonsep_psig40r,86.5451047,86.54509269,min,86.54515088523402,86.29696855652205,0.04799393564462662,0.1402793116867542,0.0198368392884731,0.1204424723982811,2.0,2.0,0.0,2.0,1.0,86.54624393006816,86.29696855652205,0.04474112298339605,0.0976249985396862,2.0,4.0,0.0,2.0,1.0
enpro48pb,187277.2594,187277.2594,min,187277.2557601836,187276.24181563666,0.3090286822989583,1.0203862264752388,0.6531493803486228,0.367236846126616,4.0,9.0,0.0,4.0,2.0,187277.2557601824,186432.27927920857,0.28378999792039394,0.9139878517016768,4.0,9.0,0.0,3.0,1.0
enpro56pb,263428.301,263428.3009,min,263428.2966425004,263427.3391162258,0.22776786144822836,0.6642632763832808,0.5302025713026524,0.1340607050806284,2.0,4.0,1.0,2.0,1.0,263428.29664187576,263427.11011246074,0.21727193146944046,3.1691249953582883,6.0,10.0,2.0,6.0,2.0
ex1223,4.579582402,4.5795824,min,4.579582373600571,4.579582373600571,0.025078983046114445,0.0814037751406431,0.0324252350255847,0.0489785401150584,5.0,8.0,0.0,2.0,4.0,4.579582373600571,4.579582373600571,0.030419806949794292,0.0802864860743284,5.0,11.0,0.0,2.0,4.0
ex1223b,4.579582402,4.5795824,min,4.57958237379399,4.57958237379399,0.013443420641124249,0.0906763179227709,0.0346219409257173,0.0560543769970536,6.0,9.0,0.0,2.0,5.0,4.57958237379399,4.57958237379399,0.011765822768211365,0.0898646200075745,6.0,12.0,0.0,2.0,5.0
