id,path,obj,dual_obj,load_time,calc_time,solver_time,python_time,iter_nr,NLP_runs,FNLP_runs,MIQP_runs,MILP_runs
0,batch.nl,300804.8921397765,300804.8921397765,1.4295801520347595e-06,0.11425318662077188,0.0700568100437522,0.04419637657701969,4,4,0,4,2
1,batch0812.nl,3109204.8076459332,3109204.8076459332,0.13235919270664454,0.29544428642839193,0.16909190732985735,0.12635237909853458,2,3,1,2,1
2,batchdes.nl,167427.65337972456,167427.65337972456,0.02671113982796669,0.027278145775198936,0.013307151384651661,0.013970994390547276,2,2,0,2,1
3,batchs101006m.nl,769440.4053867864,766094.8206183895,1.2026015594601631,6.308887865394354,4.90405538212508,1.4048324832692742,6,19,3,2,5
4,batchs121208m.nl,1245833.9222658665,1237898.3823897266,2.8742121625691652,11.814390099607408,7.868763125501573,3.945626974105835,4,14,1,3,2
5,batchs151208m.nl,1549099.6858157674,1541452.3563751183,3.4694109987467527,13.52512903790921,8.736264548264444,4.788864489644766,3,9,0,3,2
6,batchs201210m.nl,2302946.5654196115,2288361.9841444464,5.985284635797143,18.67566037643701,11.95167675241828,6.723983624018729,3,9,0,3,1
7,clay0203hfsg.nl,41709.76921898047,41355.07807397629,0.2119248602539301,3.3071926003322005,2.2696753861382604,1.0375172141939402,7,29,14,6,4
8,clay0204hfsg.nl,6544.999962872769,6544.964919359913,0.27671683207154274,2.3651207676157355,2.163564489223063,0.20155627839267254,3,11,3,2,1
9,clay0205hfsg.nl,8092.4999566980405,8084.956082717378,0.5128026260063052,7.471723326481879,6.621618899516761,0.8501044269651175,2,6,0,2,1
10,clay0303hfsg.nl,26669.10955098333,26669.09512332754,0.21950811240822077,4.21000262349844,3.166124338284135,1.043878285214305,7,28,16,5,4
11,clay0304hfsg.nl,40262.38749393643,40262.20457440197,0.3736004438251257,15.264293614774942,12.230316780507565,3.033976834267378,11,49,32,7,5
12,clay0305hfsg.nl,8092.4999566980505,8084.903092878134,0.6427905447781086,13.333760764449835,12.288874729536474,1.044886034913361,2,6,0,2,1
13,cvxnonsep_normcon20.nl,-21.7491473846331,-21.82222547389317,0.05508924834430218,0.027581607922911644,0.011903992854058743,0.0156776150688529,2,2,0,2,1
14,cvxnonsep_normcon30.nl,-34.22751206702149,-34.428749859066556,0.040997471660375595,0.03172911424189806,0.013761353679001331,0.01796776056289673,2,2,0,2,1
15,cvxnonsep_normcon40.nl,-32.6296697474825,-32.88554272835089,0.0638530058786273,0.037719511426985264,0.01693766377866268,0.020781847648322582,2,2,0,2,1
16,cvxnonsep_nsig20.nl,80.94929465741761,80.81583433225809,0.03570092003792524,0.027683923952281475,0.012098523788154125,0.01558540016412735,2,2,0,2,1
17,cvxnonsep_nsig20r.nl,80.94927862502492,80.81581789826072,0.024419130757451057,0.035005394369363785,0.012090761214494705,0.02291463315486908,2,2,0,2,1
18,cvxnonsep_nsig30.nl,130.65033700034454,130.47997176012422,0.05697248876094818,0.034577795304358006,0.016557248309254646,0.01802054699510336,2,2,0,2,1
19,cvxnonsep_nsig30r.nl,156.4266167111624,156.2343211644331,0.03688066080212593,0.03892307635396719,0.012584105134010315,0.026338971219956875,2,2,0,2,1
20,cvxnonsep_nsig40.nl,133.96132894832803,133.74494901551313,0.09023159649223089,0.04179320577532053,0.019737519323825836,0.022055686451494694,2,2,0,2,1
21,cvxnonsep_nsig40r.nl,133.96126813632867,133.74488859965595,0.053750510327517986,0.21429905854165554,0.0300902696326375,0.18420878890901804,2,2,0,2,1
22,cvxnonsep_pcon20.nl,-21.469437905707228,-21.629610239291953,0.0371028296649456,0.030464275740087032,0.014611643739044666,0.015852632001042366,2,2,0,2,1
23,cvxnonsep_pcon20r.nl,-21.46943786371748,-21.62961019921222,0.027633361518383026,0.026109219528734684,0.01015381421893835,0.015955405309796333,2,2,0,2,0
24,cvxnonsep_pcon30.nl,-35.947546900386875,-36.15628296632238,0.04647832363843918,0.03777345363050699,0.0178883895277977,0.019885064102709293,2,2,0,2,1
25,cvxnonsep_pcon30r.nl,-35.94754683755864,-36.15628290478362,0.04176084604114294,0.031592427752912045,0.011511031538248062,0.020081396214663982,2,2,0,2,0
26,cvxnonsep_pcon40.nl,-46.57800468535515,-46.78238836479686,0.0750265596434474,0.04439609218388796,0.022444956935942173,0.021951135247945786,2,2,0,2,1
27,cvxnonsep_pcon40r.nl,-46.57800460368898,-46.78238828198824,0.05905756074935198,0.14624240901321173,0.024635818786919117,0.12160659022629261,2,2,0,2,1
28,cvxnonsep_psig20.nl,93.81138766483134,93.73708927503992,0.0279430216178298,0.025442522019147873,0.011039874516427517,0.014402647502720356,2,2,0,2,1
29,cvxnonsep_psig20r.nl,95.89739532923831,95.80647949893087,0.023653718642890453,0.035627465695142746,0.012716512195765972,0.022910953499376774,2,2,0,2,1
30,cvxnonsep_psig30.nl,79.00237822815792,78.74479813452173,0.031282453797757626,0.031130743212997913,0.014959452673792839,0.016171290539205074,2,2,0,2,1
31,cvxnonsep_psig30r.nl,79.00240266582215,78.74482563402228,0.034226072020828724,0.04237886052578688,0.014993277378380299,0.027385583147406578,2,2,0,2,1
32,cvxnonsep_psig40.nl,85.49914724357482,85.20136272924489,0.04998259525746107,0.03708140645176172,0.017213533632457256,0.019867872819304466,2,2,0,2,1
33,cvxnonsep_psig40r.nl,86.54515088523402,86.29696855652205,0.04799393564462662,0.14027931168675423,0.01983683928847313,0.1204424723982811,2,2,0,2,1
34,enpro48pb.nl,187277.25576018356,187276.24181563666,0.3090286822989583,1.0203862264752388,0.6531493803486228,0.367236846126616,4,9,0,4,2
35,enpro56pb.nl,263428.2966425004,263427.3391162258,0.22776786144822836,0.6642632763832808,0.5302025713026524,0.1340607050806284,2,4,1,2,1
36,ex1223.nl,4.579582373600571,4.579582373600571,0.025078983046114445,0.08140377514064312,0.0324252350255847,0.04897854011505842,5,8,0,2,4
37,ex1223b.nl,4.57958237379399,4.57958237379399,0.013443420641124249,0.09067631792277098,0.034621940925717354,0.05605437699705362,6,9,0,2,5
38,fac1.nl,160912612.2935292,160912612.2935292,0.02039599046111107,1.9064781377092004,1.8893499914556742,0.01712814625352621,2,4,1,2,1
39,fac2.nl,331837497.8380618,329739765.28796196,0.04647967126220465,0.05665558949112892,0.037665325216948986,0.018990264274179935,2,2,0,2,1
40,flay02h.nl,37.94733186289341,37.94733188293823,0.030154976062476635,0.06674664095044136,0.04378994461148977,0.022956696338951588,3,5,0,2,1
41,flay02m.nl,37.947331804570084,37.94732588889903,0.01565573737025261,0.03778353612869978,0.018528524786233902,0.019255011342465878,3,4,0,2,1
42,flay03h.nl,48.9897948731286,48.826462438550756,0.07966988813132048,1.063434879295528,0.8081238297745585,0.2553110495209694,7,25,0,2,5
43,flay03m.nl,48.98979473356545,48.82648224207939,0.025434082373976707,0.3810893017798662,0.2607198469340801,0.1203694548457861,7,25,0,2,5
44,flay04h.nl,54.40588204053931,53.91703457327334,0.21206438448280096,8.878917501308024,7.730501228012145,1.1484162732958794,8,35,0,3,6
45,flay04m.nl,54.40588191722429,53.958472858625264,0.049397711642086506,2.0964989755302668,1.878149390220642,0.21834958530962467,8,34,0,2,6
46,flay05h.nl,64.49806202781127,63.94049419405353,0.4659747825935483,300.1237560547888,296.85786416288465,3.2658918919041753,11,51,0,2,9
47,flay05m.nl,64.49806185362016,63.9405333283485,0.06435243505984545,75.14381649717689,74.59174706600606,0.5520694311708212,11,51,0,2,9
48,flay06h.nl,66.93280218499756,64.7995615389337,0.9252446228638291,300.09140022750944,294.6307451222092,5.460655105300248,6,26,0,2,4
49,flay06m.nl,66.93280197239346,65.64437105093714,0.1099664494395256,300.14499383512884,299.5429927101359,0.6020011249929667,9,41,0,2,7
50,fo7.nl,20.729824722692754,20.72953969686851,0.2088800109922886,149.4397082934156,148.93545862007886,0.5042496733367443,7,31,14,2,5
51,fo7_2.nl,17.749345432133822,17.749120110062886,0.2195275416597724,67.58966884668916,66.97885197680444,0.6108168698847294,7,27,16,2,6
52,fo7_ar25_1.nl,23.09356731010353,23.093455579182788,0.2616607639938593,61.5922729652375,60.72808974981308,0.8641832154244184,5,21,6,5,3
53,fo7_ar2_1.nl,24.83984643585143,24.839845668862523,0.2531607626006007,62.55724107287824,61.78357913903892,0.7736619338393211,6,25,10,5,3
54,fo7_ar3_1.nl,22.51747053092173,22.493231183555192,0.2603504220023751,57.31822232995182,56.8777577271685,0.44046460278332233,5,21,4,2,4
55,fo7_ar4_1.nl,20.729824793780654,20.728880697838374,0.25707544665783644,76.19361199066043,75.9160751933232,0.277536797337234,5,21,12,2,4
56,fo7_ar5_1.nl,17.749329045518934,17.7491336965329,0.26070248521864414,55.71110575273633,55.31248093768954,0.39862481504678726,5,18,5,2,4
57,fo8.nl,22.38189634973574,22.381848247174048,0.3319483017548919,300.23985443636775,299.02426692284644,1.2155875135213137,7,31,17,6,4
58,fo8_ar25_1.nl,28.04518122790423,28.007410566921205,0.3940248601138592,291.2179148895666,290.60555245820433,0.6123624313622713,4,16,7,4,2
59,fo8_ar2_1.nl,30.345435081132745,30.14274140660447,0.38354508951306343,272.6008101562038,272.05758963897824,0.5432205172255635,4,16,0,3,3
60,fo8_ar3_1.nl,23.910053362462875,23.909377882086027,0.372087019495666,216.20848118700087,215.66783157549798,0.5406496115028858,4,16,8,4,2
61,fo8_ar4_1.nl,22.38189642325345,22.381869121222763,0.38272120896726847,111.457296310924,110.97096100728959,0.48633530363440514,3,11,1,3,2
62,fo8_ar5_1.nl,22.381896419046107,22.381774741630405,0.3762019220739603,143.72185370139778,143.27618428505957,0.44566941633820534,4,16,4,2,3
63,fo9.nl,23.464285521633826,23.464174630577308,0.4601471871137619,161.59464356582612,161.06953812297434,0.5251054428517818,4,16,7,3,3
64,fo9_ar25_1.nl,32.2499999429588,31.711880633129237,0.5561827635392547,300.0555898230523,299.2376867150888,0.8179031079635024,4,16,7,4,2
65,fo9_ar2_1.nl,32.62499994338561,32.624942433783175,0.5655279541388154,267.2121982257813,266.5568949999288,0.6553032258525491,4,16,6,3,3
66,fo9_ar3_1.nl,24.81547612173019,24.813731529688432,0.5585521087050438,72.17566826194525,71.90161137934774,0.27405688259750605,2,6,1,2,1
67,fo9_ar4_1.nl,23.464285602447575,23.462913671019543,0.5666999192908406,74.65830158162862,74.14457536581904,0.5137262158095837,3,11,2,3,1
68,fo9_ar5_1.nl,24.377976107635643,24.328261820805565,0.5708824656903744,235.68377398885787,235.25180949550122,0.4319644933566451,3,11,2,3,2
